"pop.swe" "dea.swe" "pop.kaz" "dea.kaz"
"1" 59727 279 174078 3720
"2" 229775 42 754758 1220
"3" 245172 31 879129 396
"4" 240110 33 808510 298
"5" 264957 61 720161 561
"6" 287176 87 622988 673
"7" 311111 98 733057 752
"8" 280991 140 732312 965
"9" 286899 197 612825 1113
"10" 308238 362 487996 1405
"11" 320172 643 284799 1226
"12" 242230 738 503608 2878
"13" 210785 972 301879 3266
"14" 216058 1640 374317 5212
"15" 224479 2752 256247 6866
"16" 222578 4509 154623 6182
"17" 184102 6745 149917 8199
"18" 140667 9587 88716 9013
"19" 110242 17340 58940 10627
