2000,2001,2002,2003,2004,2005
"0",378,365,318,343,353,327
"1",30,26,32,37,17,28
"2",21,22,10,19,12,20
"3",14,17,10,24,9,14
"4",12,11,11,10,12,6
"5",7,8,11,9,14,12
"6",13,9,8,13,10,10
"7",17,11,6,7,8,15
"8",11,8,11,5,11,10
"9",13,9,11,6,13,9
"10",18,8,13,7,11,12
"11",15,14,7,7,9,8
"12",12,7,13,9,11,7
"13",10,16,11,21,13,12
"14",15,13,15,20,17,17
"15",26,34,26,22,27,26
"16",40,29,39,46,36,41
"17",43,57,53,62,56,52
"18",96,78,63,64,85,61
"19",76,66,67,59,74,59
"20",59,62,61,60,58,80
"21",67,64,64,90,65,57
"22",76,62,65,69,64,67
"23",69,58,60,61,59,58
"24",59,50,55,55,85,53
"25",72,58,67,56,57,53
"26",87,61,55,64,58,56
"27",71,68,71,48,62,63
"28",77,61,70,57,61,56
"29",82,77,64,51,56,55
"30",72,76,70,58,54,71
"31",81,85,63,85,73,61
"32",108,92,78,79,79,61
"33",100,101,103,106,65,76
"34",116,120,111,96,90,93
"35",107,130,122,106,119,94
"36",134,121,100,137,116,117
"37",152,141,127,113,119,143
"38",154,148,174,153,142,118
"39",170,167,177,161,142,167
"40",189,178,209,169,165,143
"41",223,195,201,171,170,168
"42",248,203,199,206,184,202
"43",226,240,216,229,193,206
"44",232,253,254,239,226,232
"45",236,251,246,255,241,254
"46",280,296,266,292,288,278
"47",270,289,307,298,286,285
"48",298,339,304,317,318,302
"49",349,307,309,326,316,318
"50",400,355,343,358,333,351
"51",459,411,401,364,359,385
"52",531,465,445,407,385,400
"53",535,509,512,451,430,403
"54",438,579,557,543,533,485
"55",484,453,567,553,577,551
"56",612,518,464,606,671,622
"57",648,679,552,510,636,709
"58",750,690,711,670,527,703
"59",839,724,706,692,620,545
"60",986,900,720,808,791,743
"61",849,978,932,943,778,780
"62",675,846,1037,979,930,820
"63",736,687,898,1182,1076,973
"64",816,789,795,979,1182,1046
"65",871,804,829,830,1045,1278
"66",931,912,884,848,925,1114
"67",1073,993,959,941,913,907
"68",1187,1119,1120,1010,928,931
"69",1387,1306,1109,1117,1026,1017
"70",1454,1366,1423,1261,1115,1132
"71",1660,1532,1474,1421,1263,1230
"72",1674,1655,1629,1614,1492,1359
"73",1737,1777,1771,1813,1652,1474
"74",1971,1790,1833,1866,1745,1794
"75",2264,1925,1970,1962,1880,1871
"76",2272,2175,2239,2180,2042,2014
"77",2599,2400,2411,2331,2140,2157
"78",2681,2588,2524,2538,2343,2248
"79",2686,2734,2808,2585,2391,2470
"80",2765,2773,2965,2953,2813,2711
"81",1875,2752,2968,3148,2880,2976
"82",1605,1928,2868,3216,3175,3129
"83",1784,1578,2054,3000,3087,3305
"84",1982,1787,1629,2043,3006,3190
"85",2864,1999,1778,1789,2026,2965
"86",3003,2731,1958,1857,1681,2072
"87",3098,2872,2659,1973,1673,1622
"88",2787,2814,2803,2616,1813,1680
"89",2599,2533,2855,2768,2299,1696
"90",2361,2332,2405,2598,2445,2236
"91",2016,2045,2159,2256,2220,2256
"92",1687,1699,1848,1850,1858,1987
"93",1377,1408,1533,1520,1648,1652
"94",1051,1098,1164,1266,1210,1236
"95",741,879,924,950,926,1048
"96",598,589,670,722,676,708
"97",401,390,437,478,458,493
"98",261,304,323,304,342,360
"99",158,195,195,210,208,237
"100",102,105,131,160,137,170
"101",55,63,83,84,81,85
"102",25,31,51,41,36,58
"103",20,17,19,24,30,29
"104",12,12,9,9,11,20
"105",8,4,9,9,9,13
"106",7,6,1,3,5,4
"107",0,1,5,1,1,3
"108",0,1,0,1,1,2
"109",0,1,1,1,0,0
"110",2,0,1,0,0,1
