"2000","2001","2002","2003","2004","2005"
"0",78606,78661,74638,78058,76591,78877
"1",82037,78750,79157,77290,80186,78756
"2",85029,82227,79165,79707,77839,80907
"3",89484,85208,82628,79685,80377,78358
"4",89345,89640,85612,83232,80336,81128
"5",92851,89488,90140,86161,83846,81124
"6",95627,92867,89776,90626,86626,84488
"7",96502,95605,93106,90261,91051,87386
"8",97669,96585,95874,93563,90732,91713
"9",95408,97821,96912,96245,93964,91443
"10",94705,95596,98064,97340,96757,94656
"11",94457,94950,96017,98530,97836,97447
"12",93020,94732,95458,96514,99043,98588
"13",93412,93261,95259,96066,97051,99771
"14",93598,93789,93728,95821,96617,97908
"15",95294,93861,94172,94417,96445,97455
"16",95543,95658,94435,94870,95316,97363
"17",99165,95920,96390,95404,96026,96476
"18",99142,99588,96646,97312,96291,97358
"19",96462,99867,100712,98228,98980,98466
"20",91944,97289,101074,102487,100096,101388
"21",91104,92698,98602,102846,104427,102606
"22",91815,92055,94328,100717,104921,107092
"23",94357,92697,93788,96339,102958,107640
"24",99825,95188,94458,95731,98293,105600
"25",104027,100620,96926,96355,97503,100766
"26",106060,104903,102155,98645,98018,99708
"27",114460,106681,106180,103706,100133,100118
"28",119566,114831,107800,107438,104828,102090
"29",124052,119953,115834,108927,108675,106678
"30",133428,124344,121043,116848,110079,110385
"31",137900,133693,125295,121889,117729,111472
"32",138588,138225,134443,126052,122690,118978
"33",139808,138695,138787,135026,126624,123841
"34",141146,139933,139286,139374,135448,127757
"35",143289,141229,140563,139690,139676,136379
"36",142495,143361,141686,140963,140020,140552
"37",139750,142427,143749,142012,141199,140706
"38",136777,139729,142837,143835,142314,141764
"39",131536,136692,140018,142937,143920,142883
"40",127494,131414,137004,140092,142988,144385
"41",122104,127382,131709,136936,140036,143401
"42",120164,121931,127557,131693,136903,140495
"43",118434,119971,122091,127503,131668,137242
"44",110515,118219,120034,121920,127382,132052
"45",105478,110425,118320,119877,121844,127626
"46",102596,105304,110339,118087,119643,122058
"47",101774,102341,105394,110156,117901,119805
"48",97739,101594,102334,105096,109920,118011
"49",100773,97479,101523,102048,104749,109940
"50",102235,100501,97399,101235,101723,104727
"51",105960,101832,100393,96976,100893,101696
"52",107613,105544,101613,99944,96581,100774
"53",90024,107138,105242,101115,99450,96400
"54",74213,89592,106781,104610,100572,99199
"55",95762,73847,89273,106141,104008,100301
"56",95011,95194,73650,88673,105464,103559
"57",94030,94421,94902,73102,88020,104990
"58",108456,93421,93894,94185,72498,87560
"59",116152,107656,93055,93055,93385,72091
"60",111697,115264,107106,92320,92218,92733
"61",77067,110761,114579,106101,91408,91530
"62",69418,76391,110015,113438,105075,90710
"63",68040,68759,75789,108850,112163,104250
"64",66487,67232,68188,74949,107681,111182
"65",66603,65706,66567,67338,74063,106644
"66",67829,65700,64950,65699,66482,73232
"67",69642,66878,64914,63972,64760,65669
"68",69384,68495,65901,63781,62984,63863
"69",71027,68129,67365,64693,62711,62045
"70",68457,69600,66922,66010,63448,61665
"71",67395,66874,68305,65346,64574,62280
"72",64587,65658,65400,66572,63822,63244
"73",64356,62955,64065,63592,64850,62203
"74",64473,62528,61291,62146,61695,63215
"75",62012,62312,60908,59246,60148,59881
"76",61117,59746,60344,58624,57168,58192
"77",58984,58691,57701,57863,56383,55070
"78",55703,56323,56352,55108,55350,54180
"79",49987,53002,53875,53514,52519,52913
"80",37233,47183,50340,50847,50697,49951
"81",23843,34867,44629,47235,47812,47829
"82",21110,22185,32739,41483,43979,44742
"83",20625,19466,20686,30177,38372,40800
"84",23179.04,18767,17902,18806,27587,35225
"85",27294.75,20887.04,17143,16153,17001,25018
"86",24786.66,24225.75,18579.04,15166,14335,15210
"87",21470.62,21745.66,21380.75,16398.04,13268,12634
"88",17093.85,18563.62,18821.66,18553.75,14163.04,11558
"89",14564.09,14361.85,15842.62,15940.66,15766.75,12159.04
"90",11466.54,12022.09,11969.85,13145.62,13211.66,13255.75
"91",8645.63,9294.54,9849.09,9778.85,10754.62,10879.66
"92",6716.15,6783.63,7373.54,7781.09,7740.85,8652.62
"93",4873.45,5175.15,5273.63,5697.54,6065.09,6021.85
"94",3386.46,3665.45,3898.15,3931.63,4302.54,4634.09
"95",2301.17,2493.46,2706.45,2819.15,2817.63,3218.54
"96",1549.32,1614.17,1745.46,1930.45,1988.15,2042.63
"97",1028.01,1069.32,1133.17,1190.46,1314.45,1423.15
"98",628.33,681.01,721.32,770.17,813.46,909.45
"99",350.45,426.33,439.01,462.32,499.17,556.46
"100",200.55,215.45,266.33,283.01,285.32,314.17
"101",94.44,124.55,153.45,157.33,158.01,180.32
"102",59.6,57.44,73.55,86.45,97.33,108.01
"103",34,36.6,34.44,38.55,56.45,60.33
"104",23,19,21.6,24.44,21.55,34.45
"105",15,12,10,11.6,16.44,13.55
"106",5,4,6,4,4.6,8.44
"107",2,3,2,2,2,1.6
"108",0,2,2,1,2,2
"109",1,0,1,1,0,1
"110",1,0,0,0,0,0
