Total death counts and exposures for Sweden
source: http://www.mortality.org

period age_group deaths exposure
1751-1759 0 123647 501258.74
1751-1759 1-4 72224.98 1789970.89
1751-1759 5-9 22042.99 1705802.06
1751-1759 10-14 10525.98 1610572.98
1751-1759 15-19 9209.98 1436729.96
1751-1759 20-24 11210.02 1402540.88
1751-1759 25-29 12460.98 1322120.43
1751-1759 30-34 14024.96 1216605.52
1751-1759 35-39 11651.98 1025218.1
1751-1759 40-44 14577.11 913347.7
1751-1759 45-49 12765 763709.8
1751-1759 50-54 15478.98 713426.43
1751-1759 55-59 15535.92 570216.23
1751-1759 60-64 20790.98 543123.13
1751-1759 65-69 21439.05 428351.04
1751-1759 70-74 25111.99 300705
1751-1759 75-79 18772.99 155492.82
1751-1759 80-84 14352.04 94794.82
1751-1759 85-89 7371.95 36766.38
1751-1759 90-94 3213.03 11330.16
1751-1759 95-99 965.86 2491.16
1751-1759 100-104 201.37 350.61
1751-1759 105-109 13.7 9.69
1751-1759 110+ 0 0
1760-1769 0 144558 554299.81
1760-1769 1-4 79219 2047650.77
1760-1769 5-9 26000.03 2012288.24
1760-1769 10-14 12805.99 2001393.96
1760-1769 15-19 11352.04 1742025.53
1760-1769 20-24 12784 1591857.54
1760-1769 25-29 14244.02 1471965.27
1760-1769 30-34 17143.98 1429285.3
1760-1769 35-39 15266 1284083.32
1760-1769 40-44 19422.99 1178202.87
1760-1769 45-49 17347.94 970176.24
1760-1769 50-54 19603.01 850205.35
1760-1769 55-59 18689.95 696543.05
1760-1769 60-64 25013.09 625642.81
1760-1769 65-69 24187.95 444152.45
1760-1769 70-74 27035.95 314399.86
1760-1769 75-79 22072 182773.83
1760-1769 80-84 18687.03 108302.09
1760-1769 85-89 8815.03 41078.76
1760-1769 90-94 3543 12021.86
1760-1769 95-99 811.08 2127
1760-1769 100-104 105.29 171.29
1760-1769 105-109 0.58 0.24
1760-1769 110+ 0 0
1770-1779 0 137791 578612.41
1770-1779 1-4 97391 2046099.5
1770-1779 5-9 31720.93 1979089.23
1770-1779 10-14 18154.01 2032216.31
1770-1779 15-19 15460.99 1887522.05
1770-1779 20-24 17455.99 1797576.8
1770-1779 25-29 17879.95 1570446.44
1770-1779 30-34 19016.05 1434464.69
1770-1779 35-39 17670.06 1300808.82
1770-1779 40-44 21857.01 1235518.08
1770-1779 45-49 20484.01 1058558.95
1770-1779 50-54 23887.02 956742.34
1770-1779 55-59 22443 760349.43
1770-1779 60-64 28791.01 648822.61
1770-1779 65-69 28704.92 441884.99
1770-1779 70-74 30208.05 308435.52
1770-1779 75-79 21286.99 165454.54
1770-1779 80-84 15202.98 78820.65
1770-1779 85-89 7681.99 30225.07
1770-1779 90-94 2911.76 9119.89
1770-1779 95-99 796.56 2024.83
1770-1779 100-104 148.76 269.46
1770-1779 105-109 8 7.07
1770-1779 110+ 0 0
1780-1789 0 136314 607744.87
1780-1789 1-4 89558.07 2139962.63
1780-1789 5-9 27582.95 2041043.65
1780-1789 10-14 14612.1 1998650.43
1780-1789 15-19 13624.97 1882596.86
1780-1789 20-24 16424.99 1893361.97
1780-1789 25-29 18320.97 1752533.11
1780-1789 30-34 19545.99 1630561.89
1780-1789 35-39 17649.98 1412115.56
1780-1789 40-44 19994.01 1277747.68
1780-1789 45-49 18960.03 1099473.26
1780-1789 50-54 21871.99 1021326.15
1780-1789 55-59 22714.99 857169.93
1780-1789 60-64 29635 724936.85
1780-1789 65-69 33117.01 496037.43
1780-1789 70-74 30391.03 324598.45
1780-1789 75-79 22798.05 172462.52
1780-1789 80-84 15346 81555.81
1780-1789 85-89 6715.02 26715.33
1780-1789 90-94 2222.02 6364.43
1780-1789 95-99 467.05 970.42
1780-1789 100-104 51.87 59.38
1780-1789 105-109 0 0
1780-1789 110+ 0 0
1790-1799 0 146803 642795.09
1790-1799 1-4 76719.01 2273690.6
1790-1799 5-9 22710 2231993.11
1790-1799 10-14 11582.09 2164393.99
1790-1799 15-19 11119.07 1949042.35
1790-1799 20-24 13513.04 1852638.35
1790-1799 25-29 15351 1747285.86
1790-1799 30-34 17049.99 1669293.18
1790-1799 35-39 16870.97 1528129.38
1790-1799 40-44 20754 1426735.18
1790-1799 45-49 19959.97 1199082.7
1790-1799 50-54 21406.01 1038326.51
1790-1799 55-59 22889.01 865356.96
1790-1799 60-64 30781.01 751973.89
1790-1799 65-69 32552.97 558160
1790-1799 70-74 35306.98 372142.41
1790-1799 75-79 26786.98 190745.55
1790-1799 80-84 17043.89 92077.32
1790-1799 85-89 6816 26566.18
1790-1799 90-94 2037.95 5515.37
1790-1799 95-99 359.33 652.4
1790-1799 100-104 25.7 21.09
1790-1799 105-109 0 0
1790-1799 110+ 0 0
1800-1809 0 148163 628080.66
1800-1809 1-4 88862.01 2354280.04
1800-1809 5-9 29357.03 2453633.91
1800-1809 10-14 16251.02 2368500.31
1800-1809 15-19 15514.99 2128754.69
1800-1809 20-24 18648.08 2002818.82
1800-1809 25-29 18672.12 1832308.12
1800-1809 30-34 19090.97 1670046.42
1800-1809 35-39 20332.97 1542996.81
1800-1809 40-44 23860.96 1475288.18
1800-1809 45-49 25145.02 1320275.55
1800-1809 50-54 30956.95 1186975.01
1800-1809 55-59 31789.99 944304.8
1800-1809 60-64 36686.02 755700.35
1800-1809 65-69 36842.99 561058.96
1800-1809 70-74 40470.03 390994.84
1800-1809 75-79 33804.99 214911.63
1800-1809 80-84 22097.01 107853.54
1800-1809 85-89 8777.96 32005.4
1800-1809 90-94 2328.43 5959.12
1800-1809 95-99 328.5 578.86
1800-1809 100-104 12.12 7.26
1800-1809 105-109 0 0
1800-1809 110+ 0 0
1810-1819 0 152676 710617.85
1810-1819 1-4 86012.97 2334181.6
1810-1819 5-9 25177.1 2406683.03
1810-1819 10-14 14146.03 2357690.9
1810-1819 15-19 14704.01 2291618.63
1810-1819 20-24 18213.02 2141404.94
1810-1819 25-29 17951.96 1928129.33
1810-1819 30-34 19606.01 1767981.04
1810-1819 35-39 21200.96 1586081.27
1810-1819 40-44 22475.05 1414209.13
1810-1819 45-49 23880.98 1285608.87
1810-1819 50-54 29269.03 1185232.11
1810-1819 55-59 32714.96 1022711.61
1810-1819 60-64 39082.01 840694.12
1810-1819 65-69 39222.96 592969.56
1810-1819 70-74 36946.02 370512.79
1810-1819 75-79 28721.02 198244.35
1810-1819 80-84 18943.04 94877.71
1810-1819 85-89 8349.03 30178.16
1810-1819 90-94 2028.36 6107.61
1810-1819 95-99 371.42 896.87
1810-1819 100-104 24.17 28.27
1810-1819 105-109 0 0
1810-1819 110+ 0 0
1820-1829 0 156241 820749.98
1820-1829 1-4 80037.95 2918017.57
1820-1829 5-9 22500.02 2898687.96
1820-1829 10-14 11732.01 2557179.19
1820-1829 15-19 12140.94 2387032.01
1820-1829 20-24 16368 2239898.86
1820-1829 25-29 18415.97 2160750.38
1820-1829 30-34 20531.99 2007263.23
1820-1829 35-39 21440.03 1747985.85
1820-1829 40-44 23830.02 1569650.34
1820-1829 45-49 24115.04 1366007.26
1820-1829 50-54 26709 1176168.24
