"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009"
"0" 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
"1" 94781 94931 95560 95619 95975 96354 96342 96471 96767 96984 97260 97484 97618 97912 98170 98304 98538 98471 98705 98755 98838 98888 98985 99008 99075 99150 99202 99233 99273 99318 99350 99373 99422 99438 99472 99497 99526 99551 99562 99581 99585 99578 99598 99602 99614 99618 99652 99657 99654 99691 99698 99716 99717 99714 99740 99749 99749 99754 99752 99788
"2" 93404 93725 94707 94819 95316 95827 95843 95979 96366 96601 96925 97206 97355 97689 97966 98114 98354 98301 98537 98605 98689 98736 98838 98866 98942 99029 99084 99120 99168 99221 99253 99278 99332 99355 99392 99422 99455 99480 99491 99516 99514 99513 99532 99535 99551 99552 99598 99601 99597 99637 99651 99671 99675 99676 99701 99713 99709 99721 99719 99753
"3" 92488 92862 94005 94204 94798 95423 95463 95631 96074 96342 96698 97004 97189 97555 97835 97997 98247 98203 98439 98511 98601 98651 98757 98784 98865 98958 99021 99056 99111 99167 99203 99226 99284 99309 99344 99381 99414 99443 99453 99476 99480 99477 99497 99495 99518 99520 99565 99565 99563 99609 99625 99645 99649 99652 99681 99690 99689 99700 99697 99736
"4" 91802 92217 93484 93739 94362 95096 95159 95354 95840 96138 96528 96854 97060 97449 97740 97904 98165 98134 98371 98446 98531 98590 98694 98722 98805 98904 98974 99014 99067 99127 99161 99185 99252 99275 99309 99353 99387 99414 99425 99449 99454 99452 99469 99468 99492 99491 99545 99543 99541 99589 99607 99626 99632 99634 99664 99673 99671 99683 99683 99720
"5" 91407 91770 93108 93405 94045 94838 94922 95142 95669 95976 96387 96727 96955 97360 97662 97831 98095 98071 98312 98387 98479 98540 98642 98677 98759 98861 98933 98975 99031 99093 99129 99159 99224 99251 99284 99331 99366 99396 99403 99427 99435 99433 99445 99444 99473 99470 99527 99520 99524 99574 99591 99613 99617 99619 99650 99659 99659 99672 99671 99709
"6" 91114 91520 92859 93177 93827 94656 94754 94976 95531 95847 96271 96629 96868 97286 97593 97773 98038 98023 98261 98341 98429 98496 98599 98635 98723 98825 98900 98941 99003 99066 99102 99134 99201 99227 99264 99309 99350 99380 99382 99412 99416 99413 99428 99424 99456 99451 99512 99504 99510 99559 99580 99602 99603 99606 99641 99649 99647 99661 99661 99696
"7" 90907 91329 92710 93010 93679 94531 94633 94859 95431 95750 96185 96561 96804 97228 97537 97719 97993 97978 98218 98298 98390 98457 98562 98595 98689 98794 98870 98910 98977 99043 99077 99111 99180 99208 99244 99293 99332 99363 99366 99393 99401 99396 99412 99408 99440 99434 99499 99491 99497 99548 99567 99592 99593 99595 99633 99639 99638 99652 99653 99686
"8" 90751 91179 92590 92908 93570 94444 94549 94773 95353 95670 96122 96500 96754 97183 97492 97676 97950 97943 98179 98262 98355 98424 98529 98564 98662 98771 98841 98885 98955 99022 99056 99094 99163 99188 99229 99277 99318 99346 99352 99379 99387 99380 99396 99392 99427 99417 99486 99480 99481 99536 99557 99580 99580 99586 99623 99630 99630 99644 99645 99679
"9" 90617 91067 92492 92824 93494 94370 94479 94705 95296 95609 96064 96453 96707 97146 97457 97644 97914 97914 98145 98233 98327 98394 98502 98539 98640 98748 98819 98864 98939 99007 99040 99077 99149 99172 99216 99264 99306 99333 99340 99365 99374 99369 99384 99379 99417 99405 99474 99469 99472 99526 99550 99571 99571 99575 99617 99622 99620 99637 99636 99672
"10" 90500 90969 92409 92748 93426 94313 94413 94643 95247 95555 96016 96407 96668 97113 97423 97614 97883 97884 98117 98208 98301 98370 98478 98516 98619 98730 98799 98848 98921 98991 99024 99064 99133 99157 99202 99254 99295 99321 99328 99353 99362 99358 99375 99367 99405 99394 99465 99460 99461 99518 99540 99563 99562 99568 99611 99616 99613 99630 99629 99665
"11" 90396 90879 92330 92683 93364 94256 94360 94583 95199 95504 95974 96367 96632 97085 97393 97585 97851 97855 98092 98184 98276 98344 98456 98494 98601 98709 98784 98831 98904 98977 99010 99050 99118 99145 99190 99242 99285 99311 99319 99342 99350 99349 99364 99356 99394 99382 99457 99453 99452 99510 99533 99555 99553 99562 99603 99607 99606 99623 99622 99657
"12" 90296 90797 92256 92616 93306 94193 94314 94537 95152 95456 95933 96329 96593 97054 97363 97560 97819 97830 98067 98163 98252 98325 98437 98473 98581 98694 98764 98815 98890 98963 98996 99039 99105 99132 99178 99229 99275 99300 99308 99329 99341 99338 99352 99346 99387 99369 99448 99445 99443 99499 99525 99548 99546 99552 99597 99602 99600 99618 99616 99653
"13" 90190 90707 92181 92550 93247 94137 94261 94483 95114 95407 95887 96294 96558 97024 97332 97533 97788 97801 98040 98138 98229 98303 98414 98456 98561 98674 98748 98798 98873 98948 98984 99027 99092 99118 99166 99218 99264 99290 99298 99317 99331 99328 99341 99333 99379 99356 99439 99435 99433 99489 99518 99542 99539 99543 99591 99596 99593 99611 99611 99645
