"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"0" 37956 38283 36186 36571 37045 36368 36362 36453 35771 35651 35362 36212 36646 37433 39599 39821 41106 42351 39134 35604 34087 34106 36072 36531 34519 34122 35020 31464 30089 30192 28886 27959 25993 25678 24915 25302 26386 26938 27177 28498 29848 30863 31378 32894 32792 34093 34051 32938 32868 32131 32396
"1" 39918 37527 37954 35961 36416 36886 36156 36130 36204 35682 35593 35352 36154 36631 37353 39508 39718 41020 42357 39018 35679 34153 34337 36202 36763 34884 34603 35226 31688 30307 30373 29042 28077 26099 25775 24982 25447 26591 27120 27322 28601 29961 31038 31549 33052 32967 34415 34313 33132 33070 32365
"2" 42861 40298 37402 37870 35914 36386 36803 36020 35928 36133 35688 35695 35365 36185 36625 37360 39516 39720 40963 42268 39063 35608 34248 34429 36295 36761 34763 34692 35322 31788 30379 30375 29062 28095 26112 25786 25062 25576 26656 27139 27358 28692 30147 31136 31651 33197 33231 34579 34448 33238 33174
"3" 44367 42738 40191 37309 37839 35861 36348 36672 35848 35900 36122 35717 35755 35405 36182 36611 37365 39488 39687 40877 42271 39095 35691 34316 34473 36238 36661 34793 34772 35394 31868 30398 30366 29083 28155 26134 25885 25184 25643 26698 27191 27416 28830 30240 31232 31735 33452 33397 34711 34519 33287
"4" 43927 44386 42636 40138 37283 37816 35789 36219 36521 35818 35921 36238 35732 35767 35403 36161 36539 37354 39467 39656 40892 42292 39150 35725 34313 34431 36170 36713 34897 34838 35477 31886 30348 30364 29075 28154 26188 25969 25265 25701 26768 27281 27534 28912 30338 31361 32038 33614 33485 34790 34542
"5" 42051 44089 44318 42592 40121 37268 37769 35691 36081 36457 35811 35904 36241 35760 35795 35413 36623 36548 37304 39428 39663 40857 42320 39222 35784 34315 34353 36193 36782 34928 34876 35503 31842 30349 30327 29096 28192 26261 26064 25301 25739 26816 27391 27611 29002 30438 31612 32180 33692 33569 34832
"6" 39284 41824 44023 44253 42570 40081 37220 37695 35571 36035 36478 35925 35936 36275 35779 35783 35371 36610 36544 37267 39422 39738 40931 42328 39265 35747 34307 34403 36249 36821 34990 34920 35489 31821 30351 30352 29142 28288 26365 26081 25374 25823 26927 27473 27719 29105 30692 31781 32235 33746 33589
"7" 37138 38989 41752 43982 44242 42547 40047 37136 37544 35557 36047 36480 35944 35981 36293 35777 35793 35371 36604 36537 37300 39437 39768 40973 42402 39260 35683 34322 34500 36280 36846 35003 34921 35447 31808 30343 30379 29185 28350 26431 26125 25434 25945 27037 27574 27802 29377 30832 31863 32284 33762
"8" 32621 37196 38921 41696 43965 44210 42498 39973 37023 37515 35533 36305 36523 35955 35974 36312 35822 35795 35369 36565 36545 37254 39474 39793 41032 42437 39160 35726 34389 34526 36330 36845 34980 34877 35407 31784 30387 30444 29264 28377 26492 26186 25536 26017 27098 27634 28090 29542 30926 31951 32343
"9" 32557 32511 37133 38886 41671 43941 44169 42410 39882 36991 37504 35267 36327 36549 35975 35974 36289 35808 35801 35362 36591 36625 37282 39513 39852 41039 42353 39220 35769 34449 34598 36348 36807 34956 34853 35453 31853 30430 30510 29257 28423 26593 26277 25613 26090 27159 27885 28236 29645 31004 32010
"10" 31286 32633 32458 37094 38866 41653 43919 44092 42314 39843 36973 37634 35293 36337 36546 35991 36039 36296 35837 35799 35393 36571 36675 37291 39543 39850 40982 42370 39275 35801 34495 34621 36340 36809 34951 34867 35470 31923 30491 30567 29292 28496 26658 26358 25669 26176 27433 28100 28299 29756 31093
"11" 31519 30835 32588 32425 37098 38861 41625 43841 44000 42290 39833 37151 37676 35277 36344 36558 36012 36074 36296 35789 35799 35325 36568 36682 37343 39519 39769 41009 42417 39310 35859 34494 34627 36342 36822 34976 34879 35525 31959 30538 30615 29370 28597 26743 26427 25731 26436 27570 28160 28391 29824
"12" 30639 31307 30809 32563 32424 37079 38855 41572 43737 43964 42275 39602 37184 37688 35293 36364 36474 36028 36085 36274 35785 35746 35374 36560 36739 37326 39477 39800 41067 42440 39380 35887 34494 34630 36353 36835 35016 34936 35600 31990 30593 30679 29470 28705 26838 26492 25968 26568 27646 28252 28434
"13" 29960 30687 31282 30769 32564 32427 37066 38809 41499 43712 43948 42143 39614 37197 37694 35325 36369 36513 36055 36080 36321 35788 35826 35412 36584 36711 37292 39495 39818 41103 42497 39395 35882 34492 34650 36365 36875 35057 35000 35600 32024 30656 30791 29560 28792 26867 26706 26101 26634 27723 28327
"14" 29526 30341 30633 31258 30767 32547 32408 37023 38769 41467 43701 43876 42148 39625 37203 37713 35526 36361 36522 36052 36092 36435 35825 35809 35496 36611 36657 37322 39551 39836 41145 42506 39404 35877 34503 34684 36426 36932 35119 35030 35688 32085 30754 30886 29640 28861 27100 26826 26205 26748 27805
"15" 28964 29427 30325 30619 31259 30770 32536 32377 36955 38702 41458 43609 43893 42155 39635 37217 37592 35576 36451 36576 36155 36146 36472 35812 35892 35553 36588 36716 37384 39615 39933 41152 42568 39442 35923 34545 34745 36496 37029 35167 35146 35811 32219 30906 30982 29740 29092 27245 26952 26331 26829
"16" 28088 29248 29397 30311 30645 31282 30750 32481 32300 36914 38674 41505 43563 43875 42141 39639 37360 37674 35616 36407 36551 36100 36171 36456 35924 35932 35517 36644 36818 37488 39744 40045 41196 42625 39545 36069 34709 34889 36699 37191 35283 35290 35924 32360 31017 31113 29961 29232 27363 27104 26439
