"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"0" 409816 407009 389823 388617 382098 385092 385801 386526 392753 390520 398158 393083 403567 403268 419319 422902 416428 415525 404062 402468 405018 408282 423558 420088 409446 380893 352360 340809 352273 348705 358795 379804 380716 380611 357545 363408 367441 372373 368022 369215 367391 364574 363750 356053 340873 341240 350296 351042 347659 352667 357293
"1" 401455 404400 401008 383943 383617 378388 382888 384908 386502 391631 389673 397661 392073 408497 403369 419075 422334 416120 414656 402803 402556 405337 408201 422753 418536 406549 375590 350264 338587 349689 346270 356357 377283 379267 378662 355314 361077 365417 370554 366405 367711 365377 362443 361165 353442 338305 339111 347254 348855 344561 350923
"2" 399081 401173 404167 399944 382837 383518 379366 384890 387144 387896 392825 391145 399172 398408 410118 404618 419430 422981 416485 414287 402924 404408 406407 408603 422858 417350 406978 379104 353565 341631 352815 349392 359472 380635 382115 380927 357292 363073 367940 373237 369316 369254 367310 364007 362463 354824 339613 340438 348214 350175 346597
"3" 387139 399506 401441 404579 399641 383036 385337 381476 387735 388742 389547 394539 393385 405472 400714 411541 405241 420060 423459 416652 414206 403889 405784 406863 408771 422282 418809 409080 381141 355304 343509 354681 351280 360845 382160 383081 381388 357520 363646 368972 374399 369928 369754 367779 364413 362670 354967 339544 340826 347846 351075
"4" 290249 386879 400129 401928 405209 399966 384530 387973 384143 389510 390312 391446 396849 399463 407516 402578 412221 406051 420453 424283 416904 414654 404378 406617 407201 408459 423674 421315 411377 383294 357593 345788 356913 352973 362415 383818 384236 382036 358178 364602 370345 375255 370830 370424 368584 365184 363130 355294 339819 341486 348981
"5" 283025 290096 387302 400805 402477 405396 401439 386686 391197 385774 391141 392111 393945 403056 401042 409126 403479 413059 406564 421354 425035 417587 414915 404262 407367 407099 410910 425550 423118 412867 385050 359326 347562 359012 355139 364375 385865 385816 383306 359409 366142 371292 376453 371914 371396 369705 366269 363744 356069 340400 342886
"6" 281965 282919 290395 387507 401572 402820 406379 403541 389293 393157 387262 392903 394454 399687 404367 402292 409922 404514 413579 407899 422177 426032 418068 414513 403998 407552 409411 412385 426911 424314 414168 386513 360753 349721 360955 357069 366104 387833 387464 384683 360749 367009 371805 376998 372472 371850 370270 366708 363956 356291 341287
"7" 260935 281866 283254 290538 387460 401880 404143 407753 406051 390855 394971 388898 395160 400128 401128 405409 402877 410817 405185 414627 409124 423213 426975 417953 414024 403327 407091 410320 413259 427564 425216 415058 387517 362366 351130 362075 358221 367265 389321 388691 385667 361183 367595 371816 377215 372582 371896 370427 366900 363939 356839
"8" 238171 260895 282129 283436 290533 387655 403038 405944 409411 407576 392296 396897 390948 400938 401372 402287 405881 403551 411387 406824 415589 410582 424244 427439 417831 413188 407817 407612 410577 413404 427863 425653 415478 388633 363642 352110 362773 359057 368174 390656 389752 386273 362253 368679 372527 378055 373353 372530 371347 367839 365119
"9" 252273 238166 261198 282250 283431 290777 388412 404608 408107 410427 408957 393879 399336 396745 402788 402350 402844 406443 403982 412664 408287 416612 411919 424706 427720 417243 417785 408084 407533 410175 413229 427793 425664 416024 389388 364478 352677 363181 359711 368935 391835 390443 386707 362908 369451 372953 378565 373778 373056 372144 368787
"10" 278848 252237 238647 261335 282236 283827 291586 389454 406488 409395 411345 410459 395836 405433 398253 404254 402794 403473 406792 405411 413803 409919 417656 412851 425164 427683 418673 418069 407992 407064 409728 412905 427523 426269 416540 390054 365230 353285 363730 360520 369834 391965 390610 386438 362982 369574 372720 378466 373709 373232 372545
"11" 280296 278825 252631 238904 261339 282494 285055 292688 390671 407634 410579 412317 412337 402039 407131 399432 404956 403328 403861 408126 406753 415019 411566 418384 413786 425370 427718 419270 418438 407936 406931 409501 412801 428416 426867 416956 390625 365964 353924 364370 361417 370331 392371 390905 386465 363286 369937 372740 378712 374224 373952
"12" 282212 280283 279302 252832 238937 261572 283334 286653 293972 391399 408671 411849 413537 418422 404085 408465 400003 405748 403642 405185 409310 408215 416312 412847 419065 414505 426775 428834 420320 419189 408574 407381 409871 414200 429017 427079 417007 390942 366459 354403 364847 362044 371192 392963 391508 386789 363835 370566 373201 379520 375274
"13" 288083 282163 280747 279546 252824 238975 262408 284466 288577 294754 392050 409766 413437 419536 420330 405700 409093 400646 406243 404856 406390 410525 409666 417285 414074 419515 414625 428424 430517 421894 420775 409921 408533 411260 415638 429583 427278 417117 391367 367140 355032 364799 362370 371585 393213 391730 386693 364042 370924 373617 380195
"14" 290877 287973 282523 280969 279551 252839 239198 263526 285800 289724 295436 392741 411122 419904 421093 421816 406455 409810 401009 406876 405950 407707 411861 410918 418344 415243 422912 416546 430298 432396 423912 422705 411606 409898 413074 417443 430512 427892 417715 392280 368372 354972 365078 362887 372275 393671 392207 386902 364641 371837 374604
"15" 301438 290764 288085 282694 280958 279508 253008 239512 264830 286600 290772 296168 393602 417875 421999 422266 422488 407310 410207 401342 407506 407190 409105 413041 412243 419370 415520 424580 418121 431762 434110 425670 424367 413332 412169 415714 420042 432404 429539 419390 394392 368133 355740 366059 364190 373658 394850 393269 388022 366116 373477
"16" 300343 301212 290972 288085 282654 280831 279593 253268 239871 265578 287319 291857 297076 400335 419056 423601 422779 423251 407787 410452 402025 408667 408543 410429 414367 413637 420539 416764 425592 418933 432720 435199 426790 426729 415779 415063 418837 423315 434895 431898 421816 394287 368519 356809 367359 365745 375216 396049 394866 389480 367975
"17" 315640 300101 301006 290991 287975 282582 280723 279746 253548 240055 266261 288060 293219 302832 400099 419958 424329 423359 423666 407756 411493 403691 410341 410415 412453 416235 412803 421225 417354 425785 419183 433067 435656 429087 428798 417794 417405 421550 426117 437070 433914 423366 394364 369498 358122 368492 366457 376033 396856 395851 390794
"18" 318774 315266 299796 300797 290879 287945 282653 280611 279924 253683 240195 266985 288988 300271 303155 399870 420297 425142 423641 424214 408721 413898 405322 411853 412507 414548 416380 413172 421495 417337 425666 419112 433011 437036 430309 429714 418599 418667 423221 428022 438237 435100 424098 395110 370344 359013 369059 366876 376660 397514 396780
"19" 325553 318370 314544 299541 300600 290781 288218 282770 280492 279997 253794 240335 267875 296507 300229 303347 399631 420672 425561 424067 425270 410444 415601 406759 413718 414782 415302 417170 413858 421846 417711 425973 419427 433424 437370 430561 429556 418321 418832 423893 428804 438504 435065 424067 395425 370383 359043 369101 366741 376672 397774
"20" 310081 325093 317689 314054 299289 300725 290790 288605 282929 280359 280027 253891 240549 275218 296748 300151 303342 399380 420819 426184 424801 426653 411648 416960 408532 415717 417539 416580 418287 414607 422701 418677 426813 419734 433543 437285 430336 428950 417680 418806 424423 428377 438155 434848 423498 395174 369928 358793 368850 366300 376453
"21" 314633 309623 324333 317176 313703 299404 301514 290885 289073 282998 280177 280079 254044 247293 276494 296931 300027 303366 399099 421554 427096 426226 427995 412654 418665 410436 417355 418959 417692 418986 415473 423777 419852 426826 420065 433620 437023 429900 428257 417026 418816 424180 427281 437357 433977 422161 394424 369172 358252 368254 365676
"22" 312760 314094 308708 323783 316809 313901 300060 302650 291027 289293 283006 280003 280177 261271 249490 277494 296901 299889 303293 400442 422835 428854 427479 429094 413907 420332 411707 418415 419543 417730 419235 416008 424436 420223 426619 420025 433220 436337 429215 427451 416429 417881 423314 425738 435720 432019 420233 393154 368099 357351 367052
