"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"0" 431965.9 419037.3 400131.95 393027.08 391573.24 408535.83 407854.88 409620 411394.76 409129.23 421887.92 426508.23 428835.5 442529.65 454083.57 479961.79 468992.85 464383.4 449998.08 440952.04 441385.02 425473.75 422301.66 421640.88 416298.73 414263.95 395304.21 373409.62 354891.43 339390.98 321284 305742.12 299675.34 297442.11 288941.75 282591.92 278005.66 266933.87 264776.84 273506.59 269542.12 272144.62 266356.19 273210.89 264396.21 256496.63 253448.21 254541.15 260015.12 256541.56 259284.29
"1" 446597.06 420739.61 404516.11 391462.6 385516.16 386793.5 401504.7 402517.22 402529.37 403437.05 403000.22 413443.76 418633.81 424976.39 437794.94 450039.72 474513.36 465185.54 459820.2 445203.25 436522.13 434786.07 419183.21 422402.82 420865.64 415777.18 413356.84 394736.62 373123.87 354061.28 338374.95 320944.03 305738.54 299487.32 296644.32 288285.25 281795.76 277080.98 266388.62 264409.52 272286.78 268381.37 268473.97 267018.55 272992.68 264119.64 256259.88 253330.64 254160.45 257816.35 254848.69
"2" 443104.76 440594.93 416724.6 401912.28 389604.31 384997.47 385912.97 399198.47 401118.63 400026.75 399828.58 401138.2 409773.93 419620.95 424647.28 436574.23 449151.86 472002.94 464007.24 457753.01 442778.41 434193.22 431177.03 420473.53 423750.97 421356.41 416143.63 413337.74 394881.04 373453.12 353706.13 337801.37 323181.28 305595.27 299604.29 296202.53 287859.75 281304.61 276332.3 266073.37 264220.21 271243.97 267702.16 269374.09 267850.91 272923.47 263967.07 256153.13 253355.07 253946.76 255739.59
"3" 435283.88 440350.24 436583.03 415476.2 400928.13 390100.36 384253.45 385721.36 397402.72 400311.03 398092.12 396862.11 399829.41 409416.47 421100.08 424792.16 435707.52 448589.01 469803.51 463100.93 455905.81 440597.57 432752.23 432310.66 421893.84 425283.13 421945.17 416597.08 413418.63 395128.45 373875.37 353397.12 339801.32 322919.44 305504 299770.27 295785.74 287471.25 280845.45 275643.62 265781.12 264063.89 270476.25 268282.26 270275.22 268707.28 272886.26 263871.5 256043.39 253424.5 253768.06
"4" 354684.71 432024.79 438112.28 435164.29 414663.16 401923.46 389714.12 383724.98 385651.77 395853.51 399747.43 396398.5 394511.33 398874.32 409189.01 422720.21 425053.05 434967.81 448108.16 467700.09 462314.63 454146.61 439104.74 434151.54 433495.3 423419.16 426882.28 422606.93 417101.53 413519.52 395420.87 374308.45 355791.48 340046.62 322669.59 305430.74 299972.24 295417.95 287097.75 280391.29 274988.94 265507.87 263979.74 270818.29 268856.36 271209.34 269606.64 272875.05 263767.93 255984.64 253508.93
"5" 354658.32 357561.63 429561.99 436731.57 433966.97 415712.6 401437.51 389469.89 383289.03 385713.17 394413.29 399269.84 394974.12 393714.58 397969.23 409112.56 424454.34 425393.94 434289.11 447675.3 465647.66 461589.32 452976.4 440364.29 435554.85 434726.93 424954.47 428479.44 423296.69 417634.98 413648.42 395711.97 377116.47 356446.99 340305.93 322452.74 305368.47 300196.21 295033.16 286749.25 279958.14 274320.26 265405.75 264223.56 271153.33 269449.46 272170.47 270486 272875.84 263695.36 255925.9
"6" 369050.45 357778.44 360309.82 428051.6 435491.14 434645.97 415167.81 401061.57 389261.67 382926.57 385867.57 393075.07 398593.4 394193.39 392931.84 397149.14 409062.1 426238.47 425769.83 433649.4 447321.45 463636.24 461169.07 454091.61 441629.83 437019.15 435977.57 426534.79 430105.6 423991.45 418174.43 413770.95 398513.16 377891.93 357094.5 340583.23 322249.89 305304.2 300426.19 294669.37 286383.75 279522.98 273937.08 265987.73 264451.37 271482.38 270043.57 273135.59 271377.36 272887.63 263611.78
"7" 374327.25 369621.1 360169.66 359424.12 426598.82 436100.18 433625.44 414694.53 400729.63 389091.45 382607.1 386070.97 391681.51 396985.64 393449.65 392219.09 396334.04 409071.64 428057.6 426207.72 433050.69 447004.59 462182.97 462066.17 455213.82 442936.38 438477.46 437226.21 428107.1 431746.75 424705.22 418690.37 416184.26 399422.51 378661.39 357770.01 340861.54 322039.04 305269.93 300649.16 294308.58 286040.25 279336.75 274678.99 266560.71 264693.19 271818.42 270656.67 274092.72 272278.72 272893.42
"8" 387363.28 373726.05 369631.99 359293.52 358570.95 426956.01 435019.81 432652.42 414262.25 400430.2 389008.23 382351.64 385776.76 389907.19 395387.89 392755.91 391526.35 395582.95 409111.18 429897.73 426647.61 432453.98 446833.88 463089.65 463010.27 456350.04 444286.93 439952.76 438513.84 429708.42 433398.91 425390.33 421232.4 417318.18 400351.85 379431.85 358441.53 341151.84 321832.19 305225.66 300874.14 293950.79 285928.28 280091.26 275411.9 267143.69 264943 272168.46 271273.77 275070.84 273189.08
"9" 425696.59 387730.96 372586.39 368237.23 358455.24 359212.67 425654.63 433970.46 431706.4 413864.48 400164.76 388941 381632.18 383582 388135.88 393858.13 392083.17 390849.61 394806.86 409135.73 431756.86 427115.49 432105.19 447337.17 464041.33 463963.36 457513.25 445635.47 441446.07 439820.48 431312.73 435037.39 427396.21 423383.13 418444.09 401291.19 380219.3 359124.04 341434.15 321645.34 305185.39 301105.11 293872.72 286798.18 280837.77 276154.81 267731.67 265195.82 272520.51 271886.87 276052.97
