"ages" "asfr"
"1" 13 1e-05
"2" 14 6e-05
"3" 15 0.00027
"4" 16 0.00132
"5" 17 0.00383
"6" 18 0.00732
"7" 19 0.01396
"8" 20 0.02139
"9" 21 0.02979
"10" 22 0.03686
"11" 23 0.04598
"12" 24 0.05936
"13" 25 0.07418
"14" 26 0.0901
"15" 27 0.10317
"16" 28 0.11234
"17" 29 0.11738
"18" 30 0.11391
"19" 31 0.1064
"20" 32 0.09749
"21" 33 0.07882
"22" 34 0.06454
"23" 35 0.05549
"24" 36 0.04147
"25" 37 0.02936
"26" 38 0.02047
"27" 39 0.01392
"28" 40 0.00892
"29" 41 0.0053
"30" 42 0.00297
"31" 43 0.00149
"32" 44 0.00076
"33" 45 0.00031
"34" 46 1e-04
"35" 47 4e-05
"36" 48 1e-05
"37" 49 1e-05
