"Year","Age","Female","Male","Total","OpenInterval"
1751,0,5988,6902,12890,FALSE
1751,1,1286.45,1359.88,2646.33,FALSE
1751,2,834.56,882.13,1716.69,FALSE
1751,3,622,655.26,1277.26,FALSE
1751,4,470.99,497.74,968.73,FALSE
1751,5,339,364.84,703.84,FALSE
1751,6,233.88,259.28,493.16,FALSE
1751,7,157.58,181.76,339.34,FALSE
1751,8,110.1,132.28,242.38,FALSE
1751,9,91.45,110.83,202.28,FALSE
1751,10,96.28,112.29,208.57,FALSE
1751,11,103.19,116.2,219.39,FALSE
1751,12,106.86,117.46,224.32,FALSE
1751,13,107.26,116.05,223.31,FALSE
1751,14,104.41,111.99,216.4,FALSE
1751,15,99.22,106.15,205.37,FALSE
1751,16,95.41,102.05,197.46,FALSE
1751,17,93.9,100.57,194.47,FALSE
1751,18,94.69,101.72,196.41,FALSE
1751,19,97.78,105.5,203.28,FALSE
1751,20,102.69,111.24,213.93,FALSE
1751,21,107.5,116.38,223.88,FALSE
1751,22,111.77,120.26,232.03,FALSE
1751,23,115.45,122.88,238.33,FALSE
1751,24,118.59,124.24,242.83,FALSE
1751,25,121.49,124.71,246.2,FALSE
1751,26,125.55,125.73,251.28,FALSE
1751,27,131.1,127.68,258.78,FALSE
1751,28,138.16,130.54,268.7,FALSE
1751,29,146.7,134.34,281.04,FALSE
1751,30,155.69,138.39,294.08,FALSE
1751,31,160.83,139.99,300.82,FALSE
1751,32,161.1,138.51,299.61,FALSE
1751,33,156.45,133.9,290.35,FALSE
1751,34,146.93,126.21,273.14,FALSE
1751,35,134.26,116.66,250.92,FALSE
1751,36,125.44,110.24,235.68,FALSE
1751,37,122.21,108.21,230.42,FALSE
1751,38,124.57,110.57,235.14,FALSE
1751,39,132.53,117.32,249.85,FALSE
1751,40,144.18,127.22,271.4,FALSE
1751,41,151.91,135.28,287.19,FALSE
1751,42,153.82,140.27,294.09,FALSE
1751,43,149.91,142.19,292.1,FALSE
1751,44,140.19,141.04,281.23,FALSE
1751,45,126.68,137.86,264.54,FALSE
1751,46,117.53,136.73,254.26,FALSE
1751,47,114.8,138.71,253.51,FALSE
1751,48,118.46,143.77,262.23,FALSE
1751,49,128.53,151.92,280.45,FALSE
1751,50,143.05,161.82,304.87,FALSE
1751,51,154.23,168.04,322.27,FALSE
1751,52,160.1,169.23,329.33,FALSE
1751,53,160.67,165.39,326.06,FALSE
1751,54,155.94,156.52,312.46,FALSE
1751,55,148.3,144.91,293.21,FALSE
1751,56,147.26,139.79,287.05,FALSE
1751,57,155.21,143.43,298.64,FALSE
1751,58,172.15,155.84,327.99,FALSE
1751,59,198.07,177.02,375.09,FALSE
1751,60,230.02,204.06,434.08,FALSE
1751,61,256.12,225.27,481.39,FALSE
1751,62,273.41,237.74,511.15,FALSE
1751,63,281.88,241.47,523.35,FALSE
1751,64,281.55,236.46,518.01,FALSE
1751,65,274.82,224.96,499.78,FALSE
1751,66,271.34,215.94,487.28,FALSE
1751,67,273.53,211.67,485.2,FALSE
1751,68,281.39,212.12,493.51,FALSE
1751,69,294.92,217.31,512.23,FALSE
1751,70,311.33,225.28,536.61,FALSE
1751,71,319.45,228.22,547.67,FALSE
1751,72,316.48,224.18,540.66,FALSE
1751,73,302.43,213.16,515.59,FALSE
1751,74,277.3,195.16,472.46,FALSE
1751,75,244.54,172.27,416.81,FALSE
1751,76,217.89,152.91,370.8,FALSE
1751,77,200.83,139.18,340.01,FALSE
1751,78,193.34,131.06,324.4,FALSE
1751,79,195.42,128.56,323.98,FALSE
1751,80,204.09,130.12,334.21,FALSE
1751,81,207.39,129.46,336.85,FALSE
1751,82,202.35,124.99,327.34,FALSE
1751,83,188.96,116.74,305.7,FALSE
1751,84,167.22,104.69,271.91,FALSE
1751,85,139.3,89.82,229.12,FALSE
1751,86,113.83,76,189.83,FALSE
