"a" "W" "B" "L"
"1" 12 1990581.76 242 99142
"2" 13 1967944.05 1427 99127
"3" 14 1975749.27 6850 99107
"4" 15 1966356.25 21845 99083
"5" 16 1937862.21 48581 99051
"6" 17 1967052.44 86783 99013
"7" 18 1962227.57 132786 98970
"8" 19 2010232.25 178995 98924
"9" 20 1989571.47 199510 98879
"10" 21 1920574.47 202208 98833
"11" 22 1853480.68 206182 98786
"12" 23 1822935.03 206781 98740
"13" 24 1784270.14 203125 98694
"14" 25 1819779.49 208150 98647
"15" 26 1809079.81 207956 98599
"16" 27 1860642.98 214286 98548
"17" 28 1947274.5 222130 98495
"18" 29 2090972.01 235025 98439
"19" 30 2074953.06 225938 98381
"20" 31 2050623.45 206367 98318
"21" 32 1979917.99 184174 98249
"22" 33 2019282.92 165473 98174
"23" 34 2074019.26 147326 98092
"24" 35 2193370.12 131256 98004
"25" 36 2267229.48 111446 97909
"26" 37 2288339.05 88672 97804
"27" 38 2271275.12 68721 97688
"28" 39 2337368.36 51962 97562
"29" 40 2311219.62 37255 97424
"30" 41 2313001.67 24465 97275
"31" 42 2271412.86 14852 97115
"32" 43 2251570.04 8745 96939
"33" 44 2198986.9 4696 96751
"34" 45 2162568.46 2281 96549
"35" 46 2118296.28 1135 96334
"36" 47 2054474.49 527 96104
"37" 48 1965554.67 250 95854
"38" 49 1950308.83 156 95585
