"ages" ""
30 4892
31 4923
32 4960
33 5000
34 5041
35 5081
36 5118
37 5149
38 5172
39 5195
40 5222
41 5252
42 5281
43 5307
44 5326
45 5336
46 5333
47 5315
48 5284
49 5242
50 5192
51 5133
52 5066
53 4992
54 4911
55 4824
56 4733
57 4639
58 4546
59 4450
60 4350
61 4242
62 4126
63 3999
64 3861
65 3710
66 3564
67 3433
68 3307
69 3180
70 3045
71 2896
72 2731
73 2548
74 2345
75 2146
76 1966
77 1797
78 1632
79 1468
80 1303
81 1138
82 974
83 815
84 668
85 540
86 430
87 338
88 261
89 198
90 148
91 109
92 79
93 56
94 39
95 26
96 18
97 12
98 8
99 5
100 3
