"Year","ARDY","Cohort","ASFR","OpenInterval"
1891,12,1879,0,TRUE
1891,13,1878,0,FALSE
1891,14,1877,3e-05,FALSE
1891,15,1876,0.00015,FALSE
1891,16,1875,0.00115,FALSE
1891,17,1874,0.00393,FALSE
1891,18,1873,0.01043,FALSE
1891,19,1872,0.02379,FALSE
1891,20,1871,0.04684,FALSE
1891,21,1870,0.07219,FALSE
1891,22,1869,0.09572,FALSE
1891,23,1868,0.11863,FALSE
1891,24,1867,0.14126,FALSE
1891,25,1866,0.16603,FALSE
1891,26,1865,0.18291,FALSE
1891,27,1864,0.19511,FALSE
1891,28,1863,0.20216,FALSE
1891,29,1862,0.20754,FALSE
1891,30,1861,0.21793,FALSE
1891,31,1860,0.21767,FALSE
1891,32,1859,0.21143,FALSE
1891,33,1858,0.21018,FALSE
1891,34,1857,0.20193,FALSE
1891,35,1856,0.19859,FALSE
1891,36,1855,0.19773,FALSE
1891,37,1854,0.19322,FALSE
1891,38,1853,0.17952,FALSE
1891,39,1852,0.16683,FALSE
1891,40,1851,0.15964,FALSE
1891,41,1850,0.13909,FALSE
1891,42,1849,0.11493,FALSE
1891,43,1848,0.09448,FALSE
1891,44,1847,0.07028,FALSE
1891,45,1846,0.0458,FALSE
1891,46,1845,0.0279,FALSE
1891,47,1844,0.01448,FALSE
1891,48,1843,0.00752,FALSE
1891,49,1842,0.00336,FALSE
1891,50,1841,0.00156,FALSE
1891,51,1840,0.00024,FALSE
1891,52,1839,0,FALSE
1891,53,1838,0,FALSE
1891,54,1837,0,FALSE
1891,55,1836,0,TRUE
1892,12,1880,0,TRUE
1892,13,1879,0,FALSE
1892,14,1878,1e-05,FALSE
1892,15,1877,0.00017,FALSE
1892,16,1876,0.00084,FALSE
1892,17,1875,0.00345,FALSE
1892,18,1874,0.01054,FALSE
1892,19,1873,0.02379,FALSE
1892,20,1872,0.04476,FALSE
1892,21,1871,0.0707,FALSE
1892,22,1870,0.09801,FALSE
1892,23,1869,0.11964,FALSE
1892,24,1868,0.13786,FALSE
1892,25,1867,0.15884,FALSE
1892,26,1866,0.17311,FALSE
1892,27,1865,0.18468,FALSE
1892,28,1864,0.1965,FALSE
1892,29,1863,0.20105,FALSE
1892,30,1862,0.20496,FALSE
1892,31,1861,0.20829,FALSE
1892,32,1860,0.20896,FALSE
1892,33,1859,0.202,FALSE
1892,34,1858,0.1929,FALSE
1892,35,1857,0.19164,FALSE
1892,36,1856,0.18878,FALSE
1892,37,1855,0.17962,FALSE
1892,38,1854,0.16908,FALSE
1892,39,1853,0.15857,FALSE
1892,40,1852,0.14654,FALSE
1892,41,1851,0.12859,FALSE
1892,42,1850,0.10808,FALSE
1892,43,1849,0.08838,FALSE
1892,44,1848,0.06661,FALSE
1892,45,1847,0.04611,FALSE
1892,46,1846,0.02751,FALSE
1892,47,1845,0.01412,FALSE
1892,48,1844,0.0068,FALSE
1892,49,1843,0.00322,FALSE
1892,50,1842,0.0012,FALSE
1892,51,1841,2e-04,FALSE
1892,52,1840,1e-05,FALSE
1892,53,1839,0,FALSE
1892,54,1838,0,FALSE
1892,55,1837,0,TRUE
1893,12,1881,0,TRUE
1893,13,1880,0,FALSE
1893,14,1879,0,FALSE
1893,15,1878,0.00014,FALSE
1893,16,1877,0.00098,FALSE
1893,17,1876,0.00412,FALSE
1893,18,1875,0.01122,FALSE
1893,19,1874,0.02433,FALSE
1893,20,1873,0.04637,FALSE
1893,21,1872,0.07052,FALSE
1893,22,1871,0.09479,FALSE
1893,23,1870,0.12207,FALSE
1893,24,1869,0.1438,FALSE
1893,25,1868,0.15771,FALSE
1893,26,1867,0.1735,FALSE
1893,27,1866,0.18912,FALSE
1893,28,1865,0.1953,FALSE
1893,29,1864,0.20262,FALSE
1893,30,1863,0.2115,FALSE
1893,31,1862,0.20955,FALSE
1893,32,1861,0.2114,FALSE
1893,33,1860,0.20999,FALSE
1893,34,1859,0.20038,FALSE
1893,35,1858,0.19643,FALSE
1893,36,1857,0.19153,FALSE
1893,37,1856,0.18372,FALSE
1893,38,1855,0.17435,FALSE
1893,39,1854,0.16489,FALSE
1893,40,1853,0.15139,FALSE
1893,41,1852,0.13097,FALSE
1893,42,1851,0.11175,FALSE
1893,43,1850,0.09172,FALSE
1893,44,1849,0.06595,FALSE
1893,45,1848,0.04426,FALSE
1893,46,1847,0.02724,FALSE
1893,47,1846,0.01386,FALSE
1893,48,1845,0.00663,FALSE
1893,49,1844,0.00302,FALSE
1893,50,1843,0.00127,FALSE
1893,51,1842,0.00024,FALSE
1893,52,1841,5e-05,FALSE
1893,53,1840,1e-05,FALSE
1893,54,1839,0,FALSE
1893,55,1838,0,TRUE
1894,12,1882,0,TRUE
1894,13,1881,0,FALSE
1894,14,1880,0,FALSE
1894,15,1879,3e-05,FALSE
1894,16,1878,0.00076,FALSE
1894,17,1877,0.00334,FALSE
1894,18,1876,0.01105,FALSE
1894,19,1875,0.0255,FALSE
1894,20,1874,0.0452,FALSE
1894,21,1873,0.06904,FALSE
1894,22,1872,0.09655,FALSE
1894,23,1871,0.12443,FALSE
1894,24,1870,0.14881,FALSE
1894,25,1869,0.16248,FALSE
1894,26,1868,0.17274,FALSE
1894,27,1867,0.18372,FALSE
1894,28,1866,0.19291,FALSE
1894,29,1865,0.20144,FALSE
1894,30,1864,0.20871,FALSE
1894,31,1863,0.20763,FALSE
1894,32,1862,0.20473,FALSE
1894,33,1861,0.20672,FALSE
1894,34,1860,0.20221,FALSE
1894,35,1859,0.19295,FALSE
1894,36,1858,0.18665,FALSE
1894,37,1857,0.18048,FALSE
1894,38,1856,0.17287,FALSE
1894,39,1855,0.16336,FALSE
1894,40,1854,0.15442,FALSE
1894,41,1853,0.13449,FALSE
1894,42,1852,0.11079,FALSE
1894,43,1851,0.0901,FALSE
1894,44,1850,0.06745,FALSE
1894,45,1849,0.04705,FALSE
1894,46,1848,0.02648,FALSE
1894,47,1847,0.01356,FALSE
1894,48,1846,0.00663,FALSE
1894,49,1845,0.00294,FALSE
1894,50,1844,0.00152,FALSE
1894,51,1843,2e-04,FALSE
1894,52,1842,0,FALSE
1894,53,1841,0,FALSE
1894,54,1840,0,FALSE
1894,55,1839,0,TRUE
1895,12,1883,0,TRUE
1895,13,1882,0,FALSE
1895,14,1881,7e-05,FALSE
1895,15,1880,0.00029,FALSE
1895,16,1879,0.00118,FALSE
1895,17,1878,0.00425,FALSE
1895,18,1877,0.01204,FALSE
1895,19,1876,0.02718,FALSE
1895,20,1875,0.05003,FALSE
1895,21,1874,0.07408,FALSE
1895,22,1873,0.09993,FALSE
1895,23,1872,0.12818,FALSE
1895,24,1871,0.14979,FALSE
1895,25,1870,0.1682,FALSE
1895,26,1869,0.17969,FALSE
1895,27,1868,0.18812,FALSE
1895,28,1867,0.20198,FALSE
1895,29,1866,0.20777,FALSE
1895,30,1865,0.20874,FALSE
1895,31,1864,0.21287,FALSE
1895,32,1863,0.21164,FALSE
1895,33,1862,0.20419,FALSE
1895,34,1861,0.20133,FALSE
1895,35,1860,0.20044,FALSE
1895,36,1859,0.19323,FALSE
1895,37,1858,0.18311,FALSE
1895,38,1857,0.17206,FALSE
1895,39,1856,0.16016,FALSE
1895,40,1855,0.15115,FALSE
1895,41,1854,0.13571,FALSE
1895,42,1853,0.11114,FALSE
1895,43,1852,0.08946,FALSE
1895,44,1851,0.06752,FALSE
1895,45,1850,0.04368,FALSE
1895,46,1849,0.02431,FALSE
1895,47,1848,0.0125,FALSE
1895,48,1847,0.00504,FALSE
1895,49,1846,0.00174,FALSE
1895,50,1845,0.00086,FALSE
1895,51,1844,0.00012,FALSE
1895,52,1843,0,FALSE
1895,53,1842,0,FALSE
1895,54,1841,0,FALSE
1895,55,1840,0,TRUE
1896,12,1884,0,TRUE
1896,13,1883,0,FALSE
1896,14,1882,0,FALSE
1896,15,1881,0.00012,FALSE
1896,16,1880,0.00097,FALSE
1896,17,1879,0.0046,FALSE
1896,18,1878,0.01352,FALSE
1896,19,1877,0.02919,FALSE
1896,20,1876,0.05068,FALSE
1896,21,1875,0.07714,FALSE
1896,22,1874,0.10359,FALSE
1896,23,1873,0.1271,FALSE
1896,24,1872,0.14985,FALSE
1896,25,1871,0.16973,FALSE
1896,26,1870,0.18425,FALSE
1896,27,1869,0.1892,FALSE
1896,28,1868,0.19287,FALSE
1896,29,1867,0.20077,FALSE
1896,30,1866,0.20713,FALSE
1896,31,1865,0.2091,FALSE
1896,32,1864,0.20584,FALSE
1896,33,1863,0.20236,FALSE
1896,34,1862,0.2008,FALSE
1896,35,1861,0.19608,FALSE
1896,36,1860,0.18782,FALSE
1896,37,1859,0.1818,FALSE
1896,38,1858,0.17427,FALSE
1896,39,1857,0.15826,FALSE
1896,40,1856,0.14522,FALSE
1896,41,1855,0.13136,FALSE
1896,42,1854,0.1125,FALSE
1896,43,1853,0.08863,FALSE
1896,44,1852,0.06427,FALSE
1896,45,1851,0.04332,FALSE
1896,46,1850,0.02464,FALSE
1896,47,1849,0.01205,FALSE
1896,48,1848,0.00587,FALSE
1896,49,1847,0.00206,FALSE
1896,50,1846,0.00069,FALSE
1896,51,1845,0.00011,FALSE
1896,52,1844,0,FALSE
1896,53,1843,0,FALSE
1896,54,1842,0,FALSE
1896,55,1841,0,TRUE
1897,12,1885,0,TRUE
1897,13,1884,0,FALSE
1897,14,1883,4e-05,FALSE
1897,15,1882,0.00017,FALSE
1897,16,1881,0.0012,FALSE
1897,17,1880,0.00528,FALSE
1897,18,1879,0.01388,FALSE
1897,19,1878,0.02849,FALSE
1897,20,1877,0.05067,FALSE
1897,21,1876,0.07726,FALSE
1897,22,1875,0.10429,FALSE
1897,23,1874,0.12837,FALSE
1897,24,1873,0.14851,FALSE
1897,25,1872,0.1663,FALSE
1897,26,1871,0.18065,FALSE
1897,27,1870,0.1916,FALSE
1897,28,1869,0.19348,FALSE
1897,29,1868,0.19637,FALSE
1897,30,1867,0.20228,FALSE
1897,31,1866,0.20452,FALSE
1897,32,1865,0.20191,FALSE
1897,33,1864,0.20069,FALSE
1897,34,1863,0.19667,FALSE
1897,35,1862,0.18843,FALSE
1897,36,1861,0.18247,FALSE
1897,37,1860,0.17801,FALSE
1897,38,1859,0.16719,FALSE
1897,39,1858,0.15315,FALSE
1897,40,1857,0.14174,FALSE
1897,41,1856,0.12589,FALSE
1897,42,1855,0.10937,FALSE
1897,43,1854,0.08973,FALSE
1897,44,1853,0.06225,FALSE
1897,45,1852,0.041,FALSE
1897,46,1851,0.02491,FALSE
1897,47,1850,0.01243,FALSE
1897,48,1849,0.00531,FALSE
1897,49,1848,0.00215,FALSE
1897,50,1847,0.00075,FALSE
1897,51,1846,7e-05,FALSE
1897,52,1845,0,FALSE
1897,53,1844,0,FALSE
1897,54,1843,0,FALSE
1897,55,1842,0,TRUE
1898,12,1886,0,TRUE
1898,13,1885,0,FALSE
1898,14,1884,2e-05,FALSE
1898,15,1883,0.00041,FALSE
1898,16,1882,0.00135,FALSE
1898,17,1881,0.00517,FALSE
1898,18,1880,0.01516,FALSE
1898,19,1879,0.03144,FALSE
1898,20,1878,0.0544,FALSE
1898,21,1877,0.08035,FALSE
1898,22,1876,0.10706,FALSE
1898,23,1875,0.13107,FALSE
1898,24,1874,0.15172,FALSE
1898,25,1873,0.17022,FALSE
1898,26,1872,0.18375,FALSE
1898,27,1871,0.19422,FALSE
1898,28,1870,0.20243,FALSE
1898,29,1869,0.2039,FALSE
1898,30,1868,0.20245,FALSE
1898,31,1867,0.20224,FALSE
1898,32,1866,0.20698,FALSE
1898,33,1865,0.2058,FALSE
1898,34,1864,0.19895,FALSE
1898,35,1863,0.19535,FALSE
1898,36,1862,0.18736,FALSE
1898,37,1861,0.17818,FALSE
1898,38,1860,0.16958,FALSE
1898,39,1859,0.15603,FALSE
1898,40,1858,0.14302,FALSE
1898,41,1857,0.12665,FALSE
1898,42,1856,0.10543,FALSE
1898,43,1855,0.08533,FALSE
1898,44,1854,0.06345,FALSE
1898,45,1853,0.03934,FALSE
1898,46,1852,0.02288,FALSE
1898,47,1851,0.01277,FALSE
1898,48,1850,0.00548,FALSE
1898,49,1849,0.00204,FALSE
1898,50,1848,0.00079,FALSE
1898,51,1847,0.00034,FALSE
1898,52,1846,0.00011,FALSE
1898,53,1845,1e-05,FALSE
1898,54,1844,0,FALSE
1898,55,1843,0,TRUE
1899,12,1887,0,TRUE
1899,13,1886,0,FALSE
1899,14,1885,1e-05,FALSE
1899,15,1884,0.00029,FALSE
1899,16,1883,0.00131,FALSE
1899,17,1882,0.00527,FALSE
1899,18,1881,0.01503,FALSE
1899,19,1880,0.03134,FALSE
1899,20,1879,0.05402,FALSE
1899,21,1878,0.07905,FALSE
1899,22,1877,0.1057,FALSE
1899,23,1876,0.12964,FALSE
1899,24,1875,0.15037,FALSE
1899,25,1874,0.16678,FALSE
1899,26,1873,0.18164,FALSE
1899,27,1872,0.1954,FALSE
1899,28,1871,0.19779,FALSE
1899,29,1870,0.20118,FALSE
1899,30,1869,0.1996,FALSE
1899,31,1868,0.19709,FALSE
1899,32,1867,0.19593,FALSE
1899,33,1866,0.19065,FALSE
1899,34,1865,0.18809,FALSE
1899,35,1864,0.18486,FALSE
1899,36,1863,0.18163,FALSE
1899,37,1862,0.17265,FALSE
1899,38,1861,0.16262,FALSE
1899,39,1860,0.15275,FALSE
1899,40,1859,0.13765,FALSE
1899,41,1858,0.12134,FALSE
1899,42,1857,0.10225,FALSE
1899,43,1856,0.08172,FALSE
1899,44,1855,0.06168,FALSE
1899,45,1854,0.04057,FALSE
1899,46,1853,0.02316,FALSE
1899,47,1852,0.01193,FALSE
1899,48,1851,0.00518,FALSE
1899,49,1850,0.0021,FALSE
1899,50,1849,0.00071,FALSE
1899,51,1848,0.00018,FALSE
1899,52,1847,2e-05,FALSE
1899,53,1846,0,FALSE
1899,54,1845,0,FALSE
1899,55,1844,0,TRUE
1900,12,1888,0,TRUE
1900,13,1887,0,FALSE
1900,14,1886,2e-05,FALSE
1900,15,1885,0.00034,FALSE
1900,16,1884,0.00135,FALSE
1900,17,1883,0.00551,FALSE
1900,18,1882,0.01562,FALSE
1900,19,1881,0.03316,FALSE
1900,20,1880,0.05568,FALSE
1900,21,1879,0.08196,FALSE
1900,22,1878,0.11073,FALSE
1900,23,1877,0.13636,FALSE
1900,24,1876,0.15466,FALSE
1900,25,1875,0.17233,FALSE
1900,26,1874,0.18503,FALSE
1900,27,1873,0.1927,FALSE
1900,28,1872,0.2036,FALSE
1900,29,1871,0.20517,FALSE
1900,30,1870,0.20416,FALSE
1900,31,1869,0.20121,FALSE
1900,32,1868,0.19757,FALSE
1900,33,1867,0.19796,FALSE
