Country,GDPcapPPP,e0,Region,WorldBankGroup
Afghanistan,1121,60,Eastern Mediterranean,Low-income
Albania,9207,74,Europe,Lower-middle-income
Algeria,7305,72,Africa,Upper-middle-income
Angola,6092,51,Africa,Lower-middle-income
Antigua and Barbuda,18197,75,Americas,High-income
Argentina,17917,76,Americas,Upper-middle-income
Armenia,5922,71,Europe,Lower-middle-income
Australia,41943,83,Western Pacific,High-income
Austria,41908,81,Europe,High-income
Azerbaijan,10365,72,Europe,Lower-middle-income
The Bahamas,31324,75,Americas,High-income
Bahrain,33136,77,Eastern Mediterranean,High-income
Bangladesh,1957,70,South-East Asia,Low-income
Barbados,25043,78,Americas,High-income
Belarus,15379,72,Europe,Upper-middle-income
Belgium,37448,80,Europe,High-income
Belize,8598,75,Americas,Lower-middle-income
Benin,1554,59,Africa,Low-income
Bhutan,5991,68,South-East Asia,Lower-middle-income
Bolivia,5041,68,Americas,Lower-middle-income
Bosnia and Herzegovina,8048,77,Europe,Upper-middle-income
Botswana,15706,62,Africa,Upper-middle-income
Brazil,11876,74,Americas,Upper-middle-income
Brunei Darussalam,54114,77,Western Pacific,High-income
Bulgaria,14076,74,Europe,Upper-middle-income
Burkina Faso,1489,58,Africa,Low-income
Burundi,620,56,Africa,Low-income
Cabo Verde,4303,74,Africa,Lower-middle-income
Cambodia,2395,72,Western Pacific,Low-income
Cameroon,2338,56,Africa,Lower-middle-income
Canada,42469,82,Americas,High-income
Central African Republic,851,51,Africa,Low-income
Chad,2474,51,Africa,Low-income
Chile,18182,80,Americas,Upper-middle-income
China,9051,75,Western Pacific,Lower-middle-income
Colombia,10697,79,Americas,Upper-middle-income
Comoros,1251,62,Africa,Low-income
Democratic Republic of the Congo,606,52,Africa,Low-income
Republic of Congo,4615,59,Africa,Lower-middle-income
Costa Rica,12594,79,Americas,Upper-middle-income
Cote Ivoire,1707,53,Africa,Lower-middle-income
Croatia,18102,78,Europe,High-income
Cyprus,26773,82,Europe,High-income
Czech Republic,27059,78,Europe,High-income
Denmark,37249,80,Europe,High-income
Djibouti,2648,61,Eastern Mediterranean,Lower-middle-income
Dominica,13964,75,Americas,Upper-middle-income
Dominican Republic,9547,77,Americas,Upper-middle-income
Ecuador,9682,75,Americas,Lower-middle-income
Egypt,6474,71,Eastern Mediterranean,Lower-middle-income
El Salvador,7316,72,Americas,Lower-middle-income
Equatorial Guinea,24887,55,Africa,High-income
Eritrea,710,63,Africa,Low-income
Estonia,22472,77,Europe,High-income
Ethiopia,1256,64,Africa,Low-income
Fiji,4886,69,Western Pacific,Upper-middle-income
