"year" "rle" "country"
1840 45.71 "Sweden"
1843 47.9 "Norway"
1848 48.64 "Norway"
1853 51.19 "Norway"
1858 51.73 "Norway"
1863 49.7 "Australia"
1868 50.65 "Norway"
1873 50.45 "Norway"
1876 54.22 "New Zealand"
1886 57.26 "New Zealand"
1893 58.09 "New Zealand"
1898 59.95 "New Zealand"
1903 60.55 "New Zealand"
1908 61.76 "New Zealand"
1913 63.48 "New Zealand"
1922 65.43 "New Zealand"
1926 66.57 "New Zealand"
1931 67.88 "New Zealand"
1936 68.45 "New Zealand"
1938 68.94 "Norway"
1946 71.28 "Norway"
1948 72.8 "Norway"
1949 73.03 "Norway"
1950 73.21 "Norway"
1951 75 "Iceland"
1952 75 "Iceland"
1953 75.02 "Iceland"
1954 75.05 "Iceland"
1955 75.28 "Norway"
1956 75.47 "Norway"
1957 75.48 "Norway"
1958 75.48 "Norway"
1959 75.74 "Norway"
1960 75.83 "Norway"
1961 76.2 "Iceland"
1962 76.2 "Iceland"
1963 76.2 "Iceland"
1964 76.28 "Netherlands"
1965 76.49 "Norway"
1966 76.69 "Norway"
1967 76.95 "Norway"
1968 76.8 "Norway"
1969 76.67 "Norway"
1970 77.32 "Norway"
1971 77.4 "Sweden"
1972 77.54 "Sweden"
1973 77.72 "Sweden"
1974 78.26 "Iceland"
1975 78.97 "Iceland"
1976 80.15 "Iceland"
1977 79.81 "Iceland"
1978 80.02 "Iceland"
1979 79.73 "Iceland"
1980 80.55 "Iceland"
1981 79.91 "Iceland"
1982 79.78 "Iceland"
1983 80.64 "Iceland"
1984 80.57 "Iceland"
1985 80.5 "Switzerland"
1986 80.9 "Japan"
1987 81.4 "Japan"
1988 81.3 "Japan"
1989 81.7 "Japan"
1990 81.8 "Japan"
1991 82.11 "Japan"
1992 82.22 "Japan"
1993 82.51 "Japan"
1994 82.98 "Japan"
1995 83.26 "Japan"
1996 83.6 "Japan"
1997 83.8 "Japan"
1998 83.95 "Japan"
1999 83.95 "Japan"
2000 84.58 "Japan"
2001 84.91 "Japan"
2002 85.21 "Japan"
2003 85.30 "Japan"
2004 85.57 "Japan"
2005 85.49 "Japan"
2006 85.79 "Japan"
2007 85.98 "Japan"
2008 86.04 "Japan"
