"Year","Age","OpenInterval","Female1","Male1","Total1","Female2","Male2","Total2"
1751,0,FALSE,28595.61,28608.93,57204.54,27192,27939,55131
1751,1,FALSE,26191.55,25873.44,52064.99,25797.3,25404.87,51202.17
1751,2,FALSE,26508.24,26127.31,52635.55,25250.2,24877.63,50127.83
1751,3,FALSE,22053.87,21638.37,43692.24,25780.64,25360.1,51140.74
1751,4,FALSE,18244.12,17681.68,35925.8,21507.86,21062.9,42570.76
1751,5,FALSE,18296.82,17824.89,36121.71,17843.34,17253.27,35096.61
1751,6,FALSE,18094.76,17920.14,36014.9,18009.54,17512.94,35522.48
1751,7,FALSE,18040.69,18125.9,36166.59,17898.42,17699.7,35598.12
1751,8,FALSE,18324.15,18583.2,36907.35,17906.47,17968.93,35875.4
1751,9,FALSE,18807.98,19139.68,37947.66,18223.23,18461.67,36684.9
1751,10,FALSE,18296.14,18322.33,36618.47,18715.67,19029.43,37745.1
1751,11,FALSE,17713.5,17566.63,35280.13,18196.57,18208.13,36404.7
1751,12,FALSE,17039.1,16805.54,33844.64,17608.56,17449.81,35058.37
1751,13,FALSE,16449.55,16213.91,32663.46,16932.05,16688.77,33620.82
1751,14,FALSE,15939.98,15716.37,31656.35,16343.65,16099.85,32443.5
1751,15,FALSE,16570.65,15879.36,32450.01,15837.99,15608.18,31446.17
1751,16,FALSE,17010.95,16050.4,33061.35,16473.25,15775.18,32248.43
1751,17,FALSE,17118.63,15864.86,32983.49,16916.26,15949.06,32865.32
1751,18,FALSE,17282.31,15289.38,32571.69,17024.35,15763.74,32788.09
1751,19,FALSE,17430.77,14751.75,32182.52,17186.15,15185.84,32371.99
1751,20,FALSE,16901.85,14317.51,31219.36,17329.89,14641.16,31971.05
1751,21,FALSE,16460.07,13905.93,30366,16796.83,14203.69,31000.52
1751,22,FALSE,16088.59,13757.83,29846.42,16350.5,13787.61,30138.11
1751,23,FALSE,15822.2,13927.85,29750.05,15975.04,13636.25,29611.29
1751,24,FALSE,15370.35,13839.19,29209.54,15705.23,13804.29,29509.52
1751,25,FALSE,15391.02,13943.58,29334.6,15250.17,13714.14,28964.31
1751,26,FALSE,15450.72,13952.54,29403.26,15267.56,13818.35,29085.91
1751,27,FALSE,15468.8,13797.98,29266.78,15322.48,13825.83,29148.31
1751,28,FALSE,15448.83,13718.29,29167.12,15334.27,13668.85,29003.12
1751,29,FALSE,15287.97,13599.83,28887.8,15306.52,13585.83,28892.35
1751,30,FALSE,14314.7,12784.88,27099.58,15136.83,13464.13,28600.96
1751,31,FALSE,13352.42,11933.6,25286.02,14156.51,12645.69,26802.2
1751,32,FALSE,12350.63,11137.09,23487.72,13191.46,11794.35,24985.81
1751,33,FALSE,11436.73,10467.99,21904.72,12191.79,11000.89,23192.68
1751,34,FALSE,10627.16,9866.04,20493.2,11284.91,10337.94,21622.85
1751,35,FALSE,10810.93,10002.34,20813.27,10486.8,9745.74,20232.54
1751,36,FALSE,11164.94,10237.46,21402.4,10680.93,9888.83,20569.76
