Sweden, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 21/03/2016
Year    ARDY   Cohort        ASFR
1891     12-    1879+     0.00000
1891     13     1878      0.00000
1891     14     1877      0.00003
1891     15     1876      0.00015
1891     16     1875      0.00115
1891     17     1874      0.00393
1891     18     1873      0.01043
1891     19     1872      0.02379
1891     20     1871      0.04684
1891     21     1870      0.07219
1891     22     1869      0.09572
1891     23     1868      0.11863
1891     24     1867      0.14126
1891     25     1866      0.16603
1891     26     1865      0.18291
1891     27     1864      0.19511
1891     28     1863      0.20216
1891     29     1862      0.20754
1891     30     1861      0.21793
1891     31     1860      0.21767
1891     32     1859      0.21143
1891     33     1858      0.21018
1891     34     1857      0.20193
1891     35     1856      0.19859
1891     36     1855      0.19773
1891     37     1854      0.19322
1891     38     1853      0.17952
1891     39     1852      0.16683
1891     40     1851      0.15964
1891     41     1850      0.13909
1891     42     1849      0.11493
1891     43     1848      0.09448
1891     44     1847      0.07028
1891     45     1846      0.04580
1891     46     1845      0.02790
1891     47     1844      0.01448
1891     48     1843      0.00752
1891     49     1842      0.00336
1891     50     1841      0.00156
1891     51     1840      0.00024
1891     52     1839      0.00000
1891     53     1838      0.00000
1891     54     1837      0.00000
1891     55+    1836-     0.00000
1892     12-    1880+     0.00000
1892     13     1879      0.00000
1892     14     1878      0.00001
1892     15     1877      0.00017
1892     16     1876      0.00084
1892     17     1875      0.00345
1892     18     1874      0.01054
1892     19     1873      0.02379
1892     20     1872      0.04476
1892     21     1871      0.07070
1892     22     1870      0.09801
1892     23     1869      0.11964
1892     24     1868      0.13786
1892     25     1867      0.15884
1892     26     1866      0.17311
1892     27     1865      0.18468
1892     28     1864      0.19650
1892     29     1863      0.20105
1892     30     1862      0.20496
1892     31     1861      0.20829
1892     32     1860      0.20896
1892     33     1859      0.20200
1892     34     1858      0.19290
1892     35     1857      0.19164
1892     36     1856      0.18878
1892     37     1855      0.17962
1892     38     1854      0.16908
1892     39     1853      0.15857
1892     40     1852      0.14654
1892     41     1851      0.12859
1892     42     1850      0.10808
1892     43     1849      0.08838
1892     44     1848      0.06661
1892     45     1847      0.04611
1892     46     1846      0.02751
1892     47     1845      0.01412
1892     48     1844      0.00680
1892     49     1843      0.00322
1892     50     1842      0.00120
1892     51     1841      0.00020
1892     52     1840      0.00001
1892     53     1839      0.00000
1892     54     1838      0.00000
1892     55+    1837-     0.00000
1893     12-    1881+     0.00000
1893     13     1880      0.00000
1893     14     1879      0.00000
1893     15     1878      0.00014
1893     16     1877      0.00098
1893     17     1876      0.00412
1893     18     1875      0.01122
1893     19     1874      0.02433
1893     20     1873      0.04637
1893     21     1872      0.07052
1893     22     1871      0.09479
1893     23     1870      0.12207
1893     24     1869      0.14380
1893     25     1868      0.15771
1893     26     1867      0.17350
1893     27     1866      0.18912
1893     28     1865      0.19530
1893     29     1864      0.20262
1893     30     1863      0.21150
1893     31     1862      0.20955
1893     32     1861      0.21140
1893     33     1860      0.20999
1893     34     1859      0.20038
1893     35     1858      0.19643
1893     36     1857      0.19153
1893     37     1856      0.18372
1893     38     1855      0.17435
1893     39     1854      0.16489
1893     40     1853      0.15139
1893     41     1852      0.13097
1893     42     1851      0.11175
1893     43     1850      0.09172
1893     44     1849      0.06595
1893     45     1848      0.04426
1893     46     1847      0.02724
1893     47     1846      0.01386
1893     48     1845      0.00663
1893     49     1844      0.00302
1893     50     1843      0.00127
1893     51     1842      0.00024
1893     52     1841      0.00005
1893     53     1840      0.00001
1893     54     1839      0.00000
1893     55+    1838-     0.00000
1894     12-    1882+     0.00000
1894     13     1881      0.00000
1894     14     1880      0.00000
1894     15     1879      0.00003
1894     16     1878      0.00076
1894     17     1877      0.00334
1894     18     1876      0.01105
1894     19     1875      0.02550
