"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81"
"1" -2.55565375832839 -2.62935078227316 -2.6040748863843 -2.64251800679157 -2.69957606387442 -2.7462240633974 -2.74696369098831 -2.76017445494643 -2.75244175900323 -2.78578150100945 -2.46855192938922 -2.65858177348955 -2.62635287185614 -2.57954798464502 -2.57921864312748 -2.22270743505601 -2.59058416719553 -2.72409851920766 -2.99490829344469 -2.90799362317959 -3.07428573624547 -3.10792936773824 -3.19868137934483 -3.31008604592725 -3.31654822563308 -3.3785216185616 -3.44916033640301 -3.50665599847156 -3.58487266023182 -3.64239430592308 -3.73462796961459 -3.779909660787 -3.81635758329912 -3.78485969887791 -3.88845145055345 -3.95021757500099 -3.97311066907777 -4.02058725173427 -4.01426793402139 -4.05855113371001 -4.13299920130468 -4.18073107107619 -4.25921092272566 -4.3000234995808 -4.38651148653214 -4.43077322063677 -4.5220738948561 -4.59388272618162 -4.6622703251468 -4.70306330724189 -4.72417349380452 -4.7786156698634 -4.79479850168487 -4.85508460795334 -4.89428858763896 -4.92803009784398 -4.93948465155092 -5.02066167138054 -4.98942149800271 -5.03787962239601 -5.06381000397629 -5.07892165878187 -5.16224275237004 -5.22705638569623 -5.27412695191982 -5.41254304897914 -5.46898832262916 -5.478135306748 -5.46149495173237 -5.54907373952429 -5.53751430330447 -5.51744836481437 -5.59316259173887 -5.63114974515768 -5.62980959898613 -5.72791837641072 -5.70770948953655 -5.76905845944755 -5.68000617610879 -5.70526095529735 -5.75732195407009
"2" -4.16393294782038 -4.17542495742801 -4.16165411562472 -4.31723010072673 -4.32318746924318 -4.42536735088729 -4.36549171622154 -4.43427996703351 -4.46566177668283 -4.60624427711179 -4.22611911653987 -4.50115189174909 -4.58645367038703 -4.51448827708237 -4.51859293259833 -4.26493082261882 -4.69444579379455 -4.99207576430745 -5.29033655819335 -5.09445968834973 -5.35894821686475 -5.26680227487546 -5.25445722357685 -5.55995040939963 -5.5691136075967 -5.51914843903525 -5.85329011325722 -5.72881820338619 -5.82233296265926 -5.90677451373817 -6.12987988792506 -6.16495454959528 -6.08326321678439 -6.25850755809057 -6.39605950025909 -6.55277532630518 -6.53601757663056 -6.60371315688236 -6.52223145450583 -6.61620507942854 -6.71465131880968 -6.67573676454966 -6.87574607602709 -6.85374808719134 -6.90424387968328 -6.96857724705342 -6.92984148857817 -7.01954007249834 -7.07549849172486 -7.15410347845381 -7.09267952460829 -7.09560884695579 -7.17695751650908 -7.15146876068427 -7.36204098883724 -7.24758601518289 -7.44154662491505 -7.43130103390971 -7.36183463021063 -7.43338733438902 -7.59695263118676 -7.44337566058525 -7.67489392831091 -7.72373833395973 -7.65396484365502 -7.59123355604359 -7.81877271112896 -7.79030585420171 -8.08340792951256 -7.89567900850007 -7.77516261146811 -7.95009479092971 -8.07481915643826 -7.88293498920724 -8.12900415706822 -8.17896929997447 -8.16844054676539 -8.17675799262327 -8.21117853063134 -8.25744447249751 -8.06065055511501
"3" -5.10147582927114 -5.09092466351671 -5.14140333140501 -5.18734235783937 -5.22752855386494 -5.34375610854292 -5.32423651697169 -5.41167259868851 -5.44775721622697 -5.53264948264427 -5.28628881664871 -5.40646251036406 -5.42259081598355 -5.36012672781568 -5.24095336636931 -5.22194990917402 -5.64748476047482 -5.94770117884048 -6.12055691427342 -6.12717361746501 -6.38314044444447 -6.36179953893866 -6.36304551389888 -6.42364712363868 -6.49135778063677 -6.6270134294531 -6.69653629466473 -6.66924510541 -6.8248997889765 -6.858677320965 -6.93880930926153 -6.94163427368439 -7.03256992371769 -6.99631463965899 -6.99323035391485 -7.14501939042949 -7.23058373699869 -7.19799300017737 -7.2003871695565 -7.24376630358629 -7.36706920680372 -7.27074340878835 -7.33432525225331 -7.33567167540078 -7.36102201216495 -7.33077163176816 -7.52979962838075 -7.54344942983898 -7.69620400869927 -7.75377475787064 -7.59269465847172 -7.67841382347758 -7.6681126254195 -7.55824363985303 -7.82803978825765 -7.88436792075769 -7.78373174852934 -8.02155397378484 -8.04373351287257 -8.02068399569652 -8.04019553398554 -7.89661561785112 -8.13662491484374 -8.09327186433241 -8.33574520643567 -8.37568097946253 -8.43270394812509 -8.45887940612091 -8.36893757476075 -8.49799219549797 -8.5341856790241 -8.41476928795901 -8.45094153189985 -8.39432940450314 -8.77193242670735 -8.61584077110754 -8.61767364619586 -8.72250719004173 -8.58639804043436 -8.56188502178685 -8.80712406377818
"4" -5.55929781060519 -5.52757480096314 -5.58736502378559 -5.66631497700241 -5.55870200896457 -5.69211737499748 -5.7914947284025 -5.80816857778702 -5.88014408699502 -5.97315046294608 -5.60985474098688 -5.83423183142358 -5.79768669997343 -5.63490112167887 -5.39250900596935 -5.68296362319796 -6.04608281859535 -6.41099771255214 -6.58110472561186 -6.52002567644396 -6.74227324549557 -6.76034852320105 -6.85435219463884 -6.97735032950823 -7.08114930382491 -7.03565999622822 -7.10110624123512 -7.13312956511202 -7.27467448164298 -7.16459274757143 -7.42379633001467 -7.36656234859386 -7.3526201206768 -7.40974939659679 -7.34609104880285 -7.49944777716991 -7.44557346128893 -7.5631302474893 -7.57286293109165 -7.55257754607171 -7.55561869100973 -7.54995998080451 -7.66262861180859 -7.50692612860499 -7.61428567420394 -7.73438249554896 -7.75169718539692 -7.65582182818609 -7.74753709391171 -7.89645969136534 -7.71324144394715 -7.7502819066987 -8.11942619740299 -7.98903254569118 -8.14526826969918 -8.09161781023225 -8.04909960129062 -8.13203835087852 -8.16684344840348 -8.14368376801199 -8.37274036986444 -8.36648116627689 -8.64352848875776 -8.56215836254301 -8.79631783511252 -8.45984698904729 -8.75048147412855 -8.30641924864789 -8.83734924004251 -8.59165061678978 -8.7238250312678 -8.43058455739977 -8.78324109650768 -8.88272235025859 -8.82468503017615 -8.832282805587 -8.86158407504927 -9.0091798034594 -8.73050141406427 -9.01083460882794 -9.10260004267991
"5" -5.79244466476298 -5.7843897470859 -5.84076384504337 -5.87137316876901 -5.85983899797678 -6.01420655837001 -6.0049427182435 -6.03909598195592 -6.08646042669914 -6.1913422169556 -5.91277851023125 -6.00470043123643 -6.03408202513655 -5.8880152956453 -5.66359670336067 -5.85669621528343 -6.10941607869498 -6.61456047880399 -6.90133284785664 -6.83224364440579 -7.03517952165154 -7.10499955300121 -7.12693681758024 -7.204119062185 -7.24605071023395 -7.35006092541455 -7.36299398719116 -7.44321307750958 -7.55252771769354 -7.45314820002266 -7.59295428116516 -7.59621429026016 -7.58633315262429 -7.76624342673491 -7.64390188380251 -7.71906275981405 -7.87838144742697 -7.64862081433442 -7.82966512260767 -7.69715381933419 -7.82591974828928 -7.7132552834101 -7.81299944106004 -7.79238333034745 -7.7711161270686 -7.89517807736434 -7.95672575376796 -7.80937921399632 -7.94377597271631 -8.16849362474567 -8.05200699681902 -8.0246202589798 -8.17454794088917 -8.00831385168183 -8.09345200970935 -8.22373089870642 -8.19270273104627 -8.32174135522112 -8.35506588072754 -8.33706784845093 -8.5247322685894 -8.35210993405763 -8.54628443561011 -8.48918261137574 -8.7697447449802 -8.61568288421052 -8.68079184763533 -8.751353651302 -9.18326864582389 -9.17001209236422 -8.94379657891293 -8.78422979981804 -8.8686666309555 -8.88519501931412 -9.38794876937095 -8.98918951477868 -8.93683131808403 -9.1323567491816 -9.23952917589545 -9.11510814766983 -9.44032624777346
"6" -5.89056059464284 -5.94375954219814 -5.91485494741854 -6.05006045143316 -6.03160392383301 -6.15659556205351 -6.13097917188347 -6.23214546283259 -6.29337889665882 -6.32834421794364 -6.06141154389199 -6.23843687062834 -6.23968149763558 -6.0033720990887 -5.71066033809866 -5.9903217207858 -6.55068773918748 -6.79083402037168 -7.02134468043398 -7.04976418235002 -7.21840348368807 -7.17586618779382 -7.35056695348119 -7.36574514234181 -7.5523306978488 -7.58458460835134 -7.7081171788302 -7.63475853766613 -7.77626478538975 -7.56664487434473 -7.64694587036955 -7.85120373496025 -7.73641457960378 -7.7281890443032 -7.74136985954522 -7.87790966527017 -7.74352978431073 -7.98897822890705 -7.71316759685689 -7.75159465392321 -7.80946815136038 -7.87013831925704 -7.78711064477751 -7.80166037190171 -7.98988709703495 -8.24865707721588 -7.99502650256209 -8.17077892620739 -7.99445450030546 -8.07633612787265 -7.98297581264588 -8.23217423638394 -8.1022029564354 -8.14131910123681 -8.35053235348561 -8.40418090938177 -8.46873234708915 -8.26473309412013 -8.54825525908866 -8.4974798844552 -8.69064848894763 -8.5276094827323 -8.55583192435444 -8.65133447109876 -8.72840226262105 -8.9239803368125 -8.80033588555321 -9.18267839098259 -8.8288071854847 -8.7346083668694 -9.20336515878253 -9.06436109317772 -9.0409768672429 -9.12251515341781 -9.21966666327267 -9.13980524038871 -9.13303385653653 -9.25118148631365 -9.36135802399336 -9.27198094812444 -9.93971991077056
"7" -6.10485750671434 -6.12292091629154 -6.14525125282514 -6.16380089058807 -6.18951195911132 -6.33053717736224 -6.32409951171215 -6.30286147001136 -6.31603203235286 -6.4329822885376 -6.20979583449154 -6.3335916899536 -6.33470023010226 -6.04918504936931 -5.79262356633113 -6.18684513304941 -6.5475063348283 -6.89570601956474 -7.14186145538775 -7.24321910844919 -7.25771029720288 -7.50325328114596 -7.63344547427579 -7.66489618655401 -7.61632677527602 -7.78063962417326 -7.77574348424293 -7.79036393887787 -7.66755408972901 -7.68148989062175 -7.96146205798956 -7.93453208327038 -7.92902996051715 -7.82287058739747 -8.00967180413584 -8.03917093384373 -8.01926250230103 -7.97283034187177 -8.05051878057998 -7.87988637456716 -7.9673053380829 -7.96244292854554 -7.84537839494069 -7.90481306947125 -8.01571676223926 -7.97143914996991 -8.01344377118297 -8.17649008847546 -8.21634893417698 -8.10201930209834 -8.28494977250244 -8.25630984839977 -8.2807326670746 -8.2269529865742 -8.43440970345568 -8.39153547252117 -8.38557404237768 -8.43704264062625 -8.60110446287623 -8.58007857008074 -8.64569999362076 -8.66077302657216 -8.59897440039818 -8.90214830210095 -8.71620482734624 -8.81678721583846 -8.94595609156623 -9.28219854632412 -9.01001175688676 -9.15269264925498 -9.05822595089952 -8.91374398983011 -9.14585751244737 -9.20064070414886 -9.2654207114478 -9.25411389217029 -9.40130146265231 -9.29710329667553 -9.25726946680556 -9.43026763658098 -9.46166023702392
"8" -6.16179062484761 -6.22594791299131 -6.28392807892552 -6.30871419385455 -6.34491035534985 -6.34381070081497 -6.50319633593994 -6.5441519258985 -6.46341808209259 -6.63360230083149 -6.30829530259706 -6.39628140241897 -6.55525092574132 -6.07941190654216 -5.88282577486214 -6.32594549233221 -6.88316788344079 -7.13788099910145 -7.37714621567008 -7.19021462793072 -7.66700937251191 -7.6027379955853 -7.89377460465696 -7.71629214440551 -7.89523535284032 -7.87615298535674 -7.92354241925809 -7.89245531209925 -8.06703402702285 -7.93258487446611 -7.97356885589886 -8.10841073104228 -8.0892913668924 -7.98080225258967 -8.13667654576219 -8.03432715215207 -8.03339136090168 -8.11500550178192 -8.05615520731352 -8.10820617090714 -8.03357834395007 -7.96963106063126 -8.06350761735611 -8.1509179546396 -8.06087207395844 -8.18477333104604 -8.21122359557073 -8.1324709587581 -8.20406149701624 -8.33813142162109 -8.19474753115747 -8.20195553318679 -8.30192534622586 -8.45404786074149 -8.59472693609092 -8.36344612457074 -8.62706307227933 -8.51269009399058 -8.72822089855919 -8.69225556655424 -8.77002321007321 -8.83568946022351 -8.74292322540686 -8.88214386988071 -9.02774856533469 -9.02063205344271 -9.06319467736997 -9.05643900602888 -9.00213378995039 -9.2415584625791 -9.21372984977221 -9.75663641609954 -9.13163223608473 -9.00482833723159 -9.45767837697701 -9.61954431525452 -9.725186991601 -9.34544900116951 -9.52496514562046 -9.6655290709094 -9.36754709163886
"9" -6.2903258612648 -6.36182790946819 -6.41442976257022 -6.30796838901527 -6.43912042584218 -6.53232739878904 -6.6206707807563 -6.63054693763668 -6.55468532536768 -6.73454715020486 -6.41119115632337 -6.60579230585938 -6.59201453671206 -6.23230001077909 -5.85597991044062 -6.33291693904032 -6.95272644512786 -7.06364531744343 -7.32810703736499 -7.54172091654542 -7.61499217245012 -7.76666726527938 -7.78999297461032 -8.08961942493174 -8.17994768599868 -8.09156078863641 -7.96874481517271 -7.98375980243672 -8.12444685571585 -7.94323525608443 -8.28046065160604 -8.08812443151024 -8.16164151018698 -8.12297344013361 -8.28865889850488 -8.23655706653369 -8.15735643154139 -8.18152495080184 -8.20323111439573 -8.08266736172817 -8.16072846751048 -8.12964905138863 -8.17433074750813 -7.96382965071863 -8.18367778595461 -8.34017145146412 -8.28360124033021 -8.18550301128693 -8.28436224342864 -8.16202622894932 -8.45311951167371 -8.24887276966269 -8.41571693249367 -8.43098548252969 -8.43123952059244 -8.59706852844073 -8.41437111785306 -8.70950861496934 -8.78594286126475 -8.74729141893788 -8.82574370585082 -8.64306196770541 -8.95878046371951 -8.54622237662853 -8.79240440388531 -8.88531582138289 -8.89734987644663 -9.04229505033216 -8.90813919222187 -8.86126695757114 -9.19114193131169 -9.34054296820376 -9.29198035140865 -9.47871219589346 -9.46249009019419 -9.36163535606314 -9.40176572429565 -9.23838508357696 -9.58985807223425 -9.22348258095468 -9.41156941593163
"10" -6.44954372222525 -6.32701877955802 -6.41715585966053 -6.46993565554415 -6.49316633776469 -6.58543808162165 -6.64084413756338 -6.71301730915335 -6.72004521116447 -6.7222335095957 -6.48482840598996 -6.71619048246236 -6.73775272936234 -6.32422236169694 -5.83070235201324 -6.4641953750482 -6.95985673668565 -7.20133527338589 -7.44477294855365 -7.41986762643125 -7.78473740205438 -7.71823234103739 -7.91711498385102 -7.93732756859977 -8.21076625789194 -8.32854736248423 -8.16307838093817 -8.00971423291854 -8.13461743685737 -8.09485737788533 -8.29758421113963 -8.31599604124992 -8.24034743157157 -8.34475526184383 -8.2708981918561 -8.2807143792337 -8.34642093396846 -8.27744079898443 -8.25637145550754 -8.2065661468129 -8.28548300294535 -8.2429164729224 -8.18181290199337 -8.45183694115753 -8.29046579655436 -8.27863826139077 -8.33592400190166 -8.29357852424241 -8.3885216632771 -8.42824702271153 -8.56720006747242 -8.44211859504118 -8.50736664513674 -8.51150750292397 -8.44537047312622 -8.66276200002771 -8.79910679709754 -8.73742677494707 -8.67865989170853 -8.67455235371914 -8.71793774778697 -8.82718977502047 -8.73982060955663 -8.98224116491975 -8.99585757736698 -9.05251362550592 -9.10012637764589 -8.91843250341165 -9.24474628070172 -9.06282819372814 -8.94650320874233 -9.5112791020337 -8.99572757441018 -9.32900330714578 -9.48421646789457 -9.66502895270856 -9.36717683356556 -9.44008780749811 -9.45793248255297 -9.48318052709398 -9.60496143383267
